Year,Convenții,Value
2010,,
2010,Convenția Basel,
2010,Convenția Rotterdam,
2010,Convenția Stockholm,
2010,Protocolul de la Montreal,
2010,Convenția Minamata,
2011,,
2011,Convenția Basel,
2011,Convenția Rotterdam,
2011,Convenția Stockholm,
2011,Protocolul de la Montreal,
2011,Convenția Minamata,
2012,,
2012,Convenția Basel,
2012,Convenția Rotterdam,
2012,Convenția Stockholm,
2012,Protocolul de la Montreal,
2012,Convenția Minamata,
2013,,
2013,Convenția Basel,
2013,Convenția Rotterdam,
2013,Convenția Stockholm,
2013,Protocolul de la Montreal,
2013,Convenția Minamata,
2014,,
2014,Convenția Basel,
2014,Convenția Rotterdam,
2014,Convenția Stockholm,
2014,Protocolul de la Montreal,
2014,Convenția Minamata,
2015,,
2015,Convenția Basel,33.3
2015,Convenția Rotterdam,78.4
2015,Convenția Stockholm,50.0
2015,Protocolul de la Montreal,100.0
2015,Convenția Minamata,
2016,,
2016,Convenția Basel,
2016,Convenția Rotterdam,
2016,Convenția Stockholm,
2016,Protocolul de la Montreal,100.0
2016,Convenția Minamata,
2017,,
2017,Convenția Basel,
2017,Convenția Rotterdam,
2017,Convenția Stockholm,
2017,Protocolul de la Montreal,100.0
2017,Convenția Minamata,
2018,,
2018,Convenția Basel,
2018,Convenția Rotterdam,
2018,Convenția Stockholm,
2018,Protocolul de la Montreal,100.0
2018,Convenția Minamata,
2019,,
2019,Convenția Basel,
2019,Convenția Rotterdam,
2019,Convenția Stockholm,
2019,Protocolul de la Montreal,100.0
2019,Convenția Minamata,
2020,,
2020,Convenția Basel,
2020,Convenția Rotterdam,
2020,Convenția Stockholm,
2020,Protocolul de la Montreal,100.0
2020,Convenția Minamata,
2021,,
2021,Convenția Basel,
2021,Convenția Rotterdam,
2021,Convenția Stockholm,
2021,Protocolul de la Montreal,100.0
2021,Convenția Minamata,
2022,,
2022,Convenția Basel,
2022,Convenția Rotterdam,
2022,Convenția Stockholm,
2022,Protocolul de la Montreal,
2022,Convenția Minamata,
