Year,Regiuni,Value
2010,,23.9
2010,Municipiul Chişinău,37.5
2010,Nord,14.8
2010,Centru,26.4
2010,Sud,36.9
2010,UTA Găgăuzia,4.2
2011,,22.7
2011,Municipiul Chişinău,32.9
2011,Nord,12.7
2011,Centru,26.1
2011,Sud,41.7
2011,UTA Găgăuzia,0.3
2012,,19.4
2012,Municipiul Chişinău,21.5
2012,Nord,18.0
2012,Centru,40.6
2012,Sud,8.8
2012,UTA Găgăuzia,0.2
2013,,23.3
2013,Municipiul Chişinău,63.4
2013,Nord,20.1
2013,Centru,29.2
2013,Sud,7.8
2013,UTA Găgăuzia,1.0
2014,,34.0
2014,Municipiul Chişinău,87.6
2014,Nord,15.6
2014,Centru,36.3
2014,Sud,35.4
2014,UTA Găgăuzia,0.6
2015,,15.3
2015,Municipiul Chişinău,51.1
2015,Nord,6.9
2015,Centru,23.3
2015,Sud,36.8
2015,UTA Găgăuzia,11.9
2016,,29.8
2016,Municipiul Chişinău,10.3
2016,Nord,20.4
2016,Centru,53.6
2016,Sud,42.9
2016,UTA Găgăuzia,0.3
2017,,34.3
2017,Municipiul Chişinău,14.7
2017,Nord,28.5
2017,Centru,43.4
2017,Sud,32.2
2017,UTA Găgăuzia,26.2
2018,,44.4
2018,Municipiul Chişinău,11.0
2018,Nord,28.7
2018,Centru,74.8
2018,Sud,47.1
2018,UTA Găgăuzia,16.7
2019,,22.9
2019,Municipiul Chişinău,12.3
2019,Nord,30.4
2019,Centru,12.1
2019,Sud,33.7
2019,UTA Găgăuzia,25.0
2020,,28.6
2020,Municipiul Chişinău,
2020,Nord,
2020,Centru,
2020,Sud,
2020,UTA Găgăuzia,
2021,,21.9
2021,Municipiul Chişinău,
2021,Nord,
2021,Centru,
2021,Sud,
2021,UTA Găgăuzia,
2022,,
2022,Municipiul Chişinău,
2022,Nord,
2022,Centru,
2022,Sud,
2022,UTA Găgăuzia,
