Year,Level of local government authorities ,Value
2010,,
2010,Autoritățile administrației publice locale de nivelul întâi,
2010,Autoritățile administrației publice locale de nivelul doi,
2011,,
2011,Autoritățile administrației publice locale de nivelul întâi,
2011,Autoritățile administrației publice locale de nivelul doi,
2012,,
2012,Autoritățile administrației publice locale de nivelul întâi,
2012,Autoritățile administrației publice locale de nivelul doi,
2013,,
2013,Autoritățile administrației publice locale de nivelul întâi,
2013,Autoritățile administrației publice locale de nivelul doi,
2014,,
2014,Autoritățile administrației publice locale de nivelul întâi,
2014,Autoritățile administrației publice locale de nivelul doi,
2015,,
2015,Autoritățile administrației publice locale de nivelul întâi,
2015,Autoritățile administrației publice locale de nivelul doi,
2016,,
2016,Autoritățile administrației publice locale de nivelul întâi,
2016,Autoritățile administrației publice locale de nivelul doi,
2017,,
2017,Autoritățile administrației publice locale de nivelul întâi,
2017,Autoritățile administrației publice locale de nivelul doi,
2018,,
2018,Autoritățile administrației publice locale de nivelul întâi,
2018,Autoritățile administrației publice locale de nivelul doi,
2019,,
2019,Autoritățile administrației publice locale de nivelul întâi,
2019,Autoritățile administrației publice locale de nivelul doi,
2020,,
2020,Autoritățile administrației publice locale de nivelul întâi,
2020,Autoritățile administrației publice locale de nivelul doi,
2021,,
2021,Autoritățile administrației publice locale de nivelul întâi,
2021,Autoritățile administrației publice locale de nivelul doi,
2022,,
2022,Autoritățile administrației publice locale de nivelul întâi,
2022,Autoritățile administrației publice locale de nivelul doi,
2023,,
2023,Autoritățile administrației publice locale de nivelul întâi,0.2
2023,Autoritățile administrației publice locale de nivelul doi,0.2
2024,,
2024,Autoritățile administrației publice locale de nivelul întâi,
2024,Autoritățile administrației publice locale de nivelul doi,
2025,,
2025,Autoritățile administrației publice locale de nivelul întâi,
2025,Autoritățile administrației publice locale de nivelul doi,
