Year,Nivelul de eutrofizare în râuri,Value
2010,Concentraţia de nitraţi,2.8
2010,Phosphate concentration ,0.3
2011,Concentraţia de nitraţi,3.4
2011,Phosphate concentration ,0.3
2012,Concentraţia de nitraţi,3.8
2012,Phosphate concentration ,0.4
2013,Concentraţia de nitraţi,4.3
2013,Phosphate concentration ,0.3
2014,Concentraţia de nitraţi,3.6
2014,Phosphate concentration ,0.2
2015,Concentraţia de nitraţi,3.6
2015,Phosphate concentration ,0.2
2016,Concentraţia de nitraţi,4.1
2016,Phosphate concentration ,0.3
2017,Concentraţia de nitraţi,3.5
2017,Phosphate concentration ,0.2
2018,Concentraţia de nitraţi,4.0
2018,Phosphate concentration ,0.2
2019,Concentraţia de nitraţi,1.4
2019,Phosphate concentration ,0.8
2020,Concentraţia de nitraţi,0.8
2020,Phosphate concentration ,0.4
2021,Concentraţia de nitraţi,0.8
2021,Phosphate concentration ,0.3
2022,Concentraţia de nitraţi,0.2
2022,Phosphate concentration ,0.3
