Year,Tipuri ecosisteme,Value
2010,,4.7
2010,Zone umede de importanţă internaţională,2.2
2010,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",2.4
2011,,4.7
2011,Zone umede de importanţă internaţională,2.2
2011,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",2.4
2012,,4.7
2012,Zone umede de importanţă internaţională,2.2
2012,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",2.4
2013,,5.6
2013,Zone umede de importanţă internaţională,2.2
2013,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.4
2014,,5.6
2014,Zone umede de importanţă internaţională,2.2
2014,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.4
2015,,5.6
2015,Zone umede de importanţă internaţională,2.2
2015,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.4
2016,,5.6
2016,Zone umede de importanţă internaţională,2.2
2016,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.4
2017,,5.6
2017,Zone umede de importanţă internaţională,2.2
2017,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.4
2018,,5.6
2018,Zone umede de importanţă internaţională,2.2
2018,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.4
2019,,5.6
2019,Zone umede de importanţă internaţională,2.2
2019,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.4
2020,,5.6
2020,Zone umede de importanţă internaţională,2.2
2020,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.4
2021,,5.6
2021,Zone umede de importanţă internaţională,2.2
2021,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.4
2022,,5.6
2022,Zone umede de importanţă internaţională,2.2
2022,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",2.2
