Year,Indicatori privind progresul managementului durabil al pădurilor,Value
2010,,
2010,"Rata netă anuală de schimbare a suprafeței forestiere, procente",0.0
2010,"Proporția de suprafață forestieră situată în zonele protejate legal, procente",33.9
2010,"Proporția de suprafață forestieră gospodărită în conformitate cu planuri de gestionare durabilă  a pădurilor pe termen lung, procente",86.3
2010,"Rezervele de biomasă supraterană în păduri, mii m.c.",46.5
2010,"Suprafața forestieră inclusă în cadrul sistemului de certificare a modului de gestionare a pădurilor, verificat independent, mii ha",0.0
2011,,
2011,"Rata netă anuală de schimbare a suprafeței forestiere, procente",0.0
2011,"Proporția de suprafață forestieră situată în zonele protejate legal, procente",33.9
2011,"Proporția de suprafață forestieră gospodărită în conformitate cu planuri de gestionare durabilă  a pădurilor pe termen lung, procente",86.3
2011,"Rezervele de biomasă supraterană în păduri, mii m.c.",46.9
2011,"Suprafața forestieră inclusă în cadrul sistemului de certificare a modului de gestionare a pădurilor, verificat independent, mii ha",0.0
2012,,
2012,"Rata netă anuală de schimbare a suprafeței forestiere, procente",0.1
2012,"Proporția de suprafață forestieră situată în zonele protejate legal, procente",33.9
2012,"Proporția de suprafață forestieră gospodărită în conformitate cu planuri de gestionare durabilă  a pădurilor pe termen lung, procente",86.3
2012,"Rezervele de biomasă supraterană în păduri, mii m.c.",47.4
2012,"Suprafața forestieră inclusă în cadrul sistemului de certificare a modului de gestionare a pădurilor, verificat independent, mii ha",0.0
2013,,
2013,"Rata netă anuală de schimbare a suprafeței forestiere, procente",0.7
2013,"Proporția de suprafață forestieră situată în zonele protejate legal, procente",33.8
2013,"Proporția de suprafață forestieră gospodărită în conformitate cu planuri de gestionare durabilă  a pădurilor pe termen lung, procente",86.3
2013,"Rezervele de biomasă supraterană în păduri, mii m.c.",47.9
2013,"Suprafața forestieră inclusă în cadrul sistemului de certificare a modului de gestionare a pădurilor, verificat independent, mii ha",0.0
2014,,
2014,"Rata netă anuală de schimbare a suprafeței forestiere, procente",1.3
2014,"Proporția de suprafață forestieră situată în zonele protejate legal, procente",40.8
2014,"Proporția de suprafață forestieră gospodărită în conformitate cu planuri de gestionare durabilă  a pădurilor pe termen lung, procente",86.3
2014,"Rezervele de biomasă supraterană în păduri, mii m.c.",49.0
2014,"Suprafața forestieră inclusă în cadrul sistemului de certificare a modului de gestionare a pădurilor, verificat independent, mii ha",0.0
2015,,
2015,"Rata netă anuală de schimbare a suprafeței forestiere, procente",0.2
2015,"Proporția de suprafață forestieră situată în zonele protejate legal, procente",40.8
2015,"Proporția de suprafață forestieră gospodărită în conformitate cu planuri de gestionare durabilă  a pădurilor pe termen lung, procente",86.3
2015,"Rezervele de biomasă supraterană în păduri, mii m.c.",49.1
2015,"Suprafața forestieră inclusă în cadrul sistemului de certificare a modului de gestionare a pădurilor, verificat independent, mii ha",0.0
2016,,
2016,"Rata netă anuală de schimbare a suprafeței forestiere, procente",0.0
2016,"Proporția de suprafață forestieră situată în zonele protejate legal, procente",40.8
2016,"Proporția de suprafață forestieră gospodărită în conformitate cu planuri de gestionare durabilă  a pădurilor pe termen lung, procente",86.3
