Year,Indice,Value
2010,,
2010,Indice (rang),
2010,,
2011,,
2011,Indice (rang),
2011,,
2012,,
2012,Indice (rang),
2012,,
2013,,74.0
2013,Indice (rang),55.0
2013,,
2014,,74.7
2014,Indice (rang),56.0
2014,,
2015,,72.2
2015,Indice (rang),72.0
2015,,
2016,,71.2
2016,Indice (rang),76.0
2016,,
2017,,69.6
2017,Indice (rang),80.0
2017,,
2018,,70.0
2018,Indice (rang),81.0
2018,,
2019,,68.8
2019,Indice (rang),91.0
2019,,
2020,,68.8
2020,Indice (rang),91.0
2020,,
2021,,68.4
2021,Indice (rang),89.0
2021,,
2022,,73.5
2022,Indice (rang),40.0
2022,,
2023,,77.6
2023,Indice (rang),28.0
2023,,
