Year,Mediul de reședință,Sex,Grupa de vârstă,Nivelul de instruire a capului gospodăriei,Etnia capului gospodăriei,Quintile de bunăstare,Value
2010,,,,,,,
2010,Urban,,,,,,
2010,Rural,,,,,,
2010,,Bărbați,,,,,
2010,,Femei,,,,,
2010,,,2-4,,,,
2010,,,5-9,,,,
2010,,,10-14,,,,
2010,,,,Primare și mai jos,,,
2010,,,,Secundare,,,
2010,,,,Profesional,,,
2010,,,,Superioare,,,
2010,,,,,Moldovean/Român,,
2010,,,,,Rus,,
2010,,,,,Ucrainean,,
2010,,,,,Rom,,
2010,,,,,Găgăuz,,
2010,,,,,Alte,,
2010,,,,,,I,
2010,,,,,,II,
2010,,,,,,III,
2010,,,,,,IV,
2010,,,,,,V,
2011,,,,,,,
2011,Urban,,,,,,
2011,Rural,,,,,,
2011,,Bărbați,,,,,
2011,,Femei,,,,,
2011,,,2-4,,,,
2011,,,5-9,,,,
2011,,,10-14,,,,
2011,,,,Primare și mai jos,,,
2011,,,,Secundare,,,
2011,,,,Profesional,,,
2011,,,,Superioare,,,
2011,,,,,Moldovean/Român,,
2011,,,,,Rus,,
2011,,,,,Ucrainean,,
2011,,,,,Rom,,
2011,,,,,Găgăuz,,
2011,,,,,Alte,,
2011,,,,,,I,
2011,,,,,,II,
2011,,,,,,III,
2011,,,,,,IV,
2011,,,,,,V,
2012,,,,,,,75.6
2012,Urban,,,,,,73.9
2012,Rural,,,,,,76.5
2012,,Bărbați,,,,,77.4
2012,,Femei,,,,,73.8
2012,,,2-4,,,,76.2
2012,,,5-9,,,,78.1
2012,,,10-14,,,,72.8
2012,,,,Primare și mai jos,,,83.4
2012,,,,Secundare,,,76.6
2012,,,,Profesional,,,75.5
2012,,,,Superioare,,,71.1
2012,,,,,Moldovean/Român,,75.5
2012,,,,,Rus,,72.9
2012,,,,,Ucrainean,,72.9
2012,,,,,Rom,,77.6
2012,,,,,Găgăuz,,87.1
2012,,,,,Alte,,71.8
2012,,,,,,I,82.1
2012,,,,,,II,77.0
2012,,,,,,III,74.9
2012,,,,,,IV,71.3
2012,,,,,,V,73.9
2013,,,,,,,
2013,Urban,,,,,,
2013,Rural,,,,,,
2013,,Bărbați,,,,,
2013,,Femei,,,,,
2013,,,2-4,,,,
2013,,,5-9,,,,
2013,,,10-14,,,,
2013,,,,Primare și mai jos,,,
2013,,,,Secundare,,,
2013,,,,Profesional,,,
2013,,,,Superioare,,,
2013,,,,,Moldovean/Român,,
2013,,,,,Rus,,
2013,,,,,Ucrainean,,
2013,,,,,Rom,,
2013,,,,,Găgăuz,,
2013,,,,,Alte,,
2013,,,,,,I,
2013,,,,,,II,
2013,,,,,,III,
2013,,,,,,IV,
2013,,,,,,V,
2014,,,,,,,
2014,Urban,,,,,,
2014,Rural,,,,,,
2014,,Bărbați,,,,,
2014,,Femei,,,,,
2014,,,2-4,,,,
2014,,,5-9,,,,
2014,,,10-14,,,,
2014,,,,Primare și mai jos,,,
2014,,,,Secundare,,,
2014,,,,Profesional,,,
2014,,,,Superioare,,,
2014,,,,,Moldovean/Român,,
2014,,,,,Rus,,
2014,,,,,Ucrainean,,
2014,,,,,Rom,,
2014,,,,,Găgăuz,,
2014,,,,,Alte,,
2014,,,,,,I,
2014,,,,,,II,
2014,,,,,,III,
2014,,,,,,IV,
