Year,Area of residence,Sex,Types of offences,Ethnicity,Migration context,Citizenship,Value
2010,,,,,,,
2010,Urban,,,,,,
2010,Rural,,,,,,
2010,,Men,,,,,
2010,,Women,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,xx,,,,
2010,,,xx,,,,
2010,,,,xx,,,
2010,,,,xx,,,
2010,,,,xx,,,
2010,,,,,xx,,
2010,,,,,xx,,
2010,,,,,xx,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2011,,,,,,,
2011,Urban,,,,,,
2011,Rural,,,,,,
2011,,Men,,,,,
2011,,Women,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,xx,,,,
2011,,,xx,,,,
2011,,,,xx,,,
2011,,,,xx,,,
2011,,,,xx,,,
2011,,,,,xx,,
2011,,,,,xx,,
2011,,,,,xx,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2012,,,,,,,
2012,Urban,,,,,,
2012,Rural,,,,,,
2012,,Men,,,,,
2012,,Women,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,xx,,,,
2012,,,xx,,,,
2012,,,,xx,,,
2012,,,,xx,,,
2012,,,,xx,,,
2012,,,,,xx,,
2012,,,,,xx,,
2012,,,,,xx,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2013,,,,,,,
2013,Urban,,,,,,
2013,Rural,,,,,,
2013,,Men,,,,,
2013,,Women,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,xx,,,,
2013,,,xx,,,,
2013,,,,xx,,,
2013,,,,xx,,,
2013,,,,xx,,,
2013,,,,,xx,,
2013,,,,,xx,,
2013,,,,,xx,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
