Year,Sex,Level of studies,Instituțiile unde s-au efectuat plăți,Value
2010,,,,
2010,Bărbați,,,
2010,Femei,,,
2010,,Medii incomplete,,
2010,,Secundare,,
2010,,Mediu de specialitate,,
2010,,Superior,,
2010,,,Autorități publice centrale,
2010,,,Autorități publice locale,
2010,,,Inspectoratele fiscale,
2010,,,Vama,
2010,,,Poliția,
2010,,,Procuratura,
2010,,,Instanțele de judecată,
2010,,,Instituțiile de învățământ,
2010,,,Instituțiile medicale,
2010,,,Oficiile stării civile,
2010,,,Birourile de pașapoarte,
2010,,,Serviciile comunale,
2010,,,Inspecțiile antiincendiare,
2010,,,Birourile notariale,
2010,,,Înregistrarea transportului și calificarea conducătorilor auto,
2010,,,Revizia tehnică a automobilelor,
2011,,,,
2011,Bărbați,,,
2011,Femei,,,
2011,,Medii incomplete,,
2011,,Secundare,,
2011,,Mediu de specialitate,,
2011,,Superior,,
2011,,,Autorități publice centrale,
2011,,,Autorități publice locale,
2011,,,Inspectoratele fiscale,
2011,,,Vama,
2011,,,Poliția,
2011,,,Procuratura,
2011,,,Instanțele de judecată,
2011,,,Instituțiile de învățământ,
2011,,,Instituțiile medicale,
2011,,,Oficiile stării civile,
2011,,,Birourile de pașapoarte,
2011,,,Serviciile comunale,
2011,,,Inspecțiile antiincendiare,
2011,,,Birourile notariale,
2011,,,Înregistrarea transportului și calificarea conducătorilor auto,
2011,,,Revizia tehnică a automobilelor,
2012,,,,37.2
2012,Bărbați,,,
2012,Femei,,,
2012,,Medii incomplete,,
2012,,Secundare,,
2012,,Mediu de specialitate,,
2012,,Superior,,
2012,,,Autorități publice centrale,0.9
2012,,,Autorități publice locale,1.9
2012,,,Inspectoratele fiscale,1.4
2012,,,Vama,4.4
2012,,,Poliția,6.1
2012,,,Procuratura,0.4
2012,,,Instanțele de judecată,0.7
2012,,,Instituțiile de învățământ,11.7
2012,,,Instituțiile medicale,21.6
2012,,,Oficiile stării civile,1.0
2012,,,Birourile de pașapoarte,1.1
2012,,,Serviciile comunale,0.5
2012,,,Inspecțiile antiincendiare,0.2
2012,,,Birourile notariale,0.4
2012,,,Înregistrarea transportului și calificarea conducătorilor auto,1.4
2012,,,Revizia tehnică a automobilelor,3.1
2013,,,,
2013,Bărbați,,,
2013,Femei,,,
2013,,Medii incomplete,,
2013,,Secundare,,
2013,,Mediu de specialitate,,
2013,,Superior,,
2013,,,Autorități publice centrale,
2013,,,Autorități publice locale,
2013,,,Inspectoratele fiscale,
2013,,,Vama,
2013,,,Poliția,
2013,,,Procuratura,
2013,,,Instanțele de judecată,
2013,,,Instituțiile de învățământ,
2013,,,Instituțiile medicale,
2013,,,Oficiile stării civile,
