Year,Sex,Grupa de vârstă,Mediu de reședință,Nivel de educație,Grup de venituri,Value
2010,,,,,,
2010,Bărbați,,,,,
2010,Femei,,,,,
2010,,18-29,,,,
2010,,30-44,,,,
2010,,45-59,,,,
2010,,60-74,,,,
2010,,,Urban,,,
2010,,,Rural,,,
2010,,,,Medii incomplete,,
2010,,,,General secondary education,,
2010,,,,Vocational secondary education,,
2010,,,,Superioare,,
2010,,,,,"Săraci, 40 procente",
2010,,,,,"Înstăriți, 60 procente",
2011,,,,,,
2011,Bărbați,,,,,
2011,Femei,,,,,
2011,,18-29,,,,
2011,,30-44,,,,
2011,,45-59,,,,
2011,,60-74,,,,
2011,,,Urban,,,
2011,,,Rural,,,
2011,,,,Medii incomplete,,
2011,,,,General secondary education,,
2011,,,,Vocational secondary education,,
2011,,,,Superioare,,
2011,,,,,"Săraci, 40 procente",
2011,,,,,"Înstăriți, 60 procente",
2012,,,,,,12.8
2012,Bărbați,,,,,
2012,Femei,,,,,
2012,,18-29,,,,
2012,,30-44,,,,
2012,,45-59,,,,
2012,,60-74,,,,
2012,,,Urban,,,
2012,,,Rural,,,
2012,,,,Medii incomplete,,
2012,,,,General secondary education,,
2012,,,,Vocational secondary education,,
2012,,,,Superioare,,
2012,,,,,"Săraci, 40 procente",
2012,,,,,"Înstăriți, 60 procente",
2013,,,,,,16.3
2013,Bărbați,,,,,
2013,Femei,,,,,
2013,,18-29,,,,
2013,,30-44,,,,
2013,,45-59,,,,
2013,,60-74,,,,
2013,,,Urban,,,
2013,,,Rural,,,
2013,,,,Medii incomplete,,
2013,,,,General secondary education,,
2013,,,,Vocational secondary education,,
2013,,,,Superioare,,
2013,,,,,"Săraci, 40 procente",
2013,,,,,"Înstăriți, 60 procente",
2014,,,,,,14.6
2014,Bărbați,,,,,
2014,Femei,,,,,
2014,,18-29,,,,
2014,,30-44,,,,
2014,,45-59,,,,
2014,,60-74,,,,
2014,,,Urban,,,
2014,,,Rural,,,
2014,,,,Medii incomplete,,
2014,,,,General secondary education,,
2014,,,,Vocational secondary education,,
2014,,,,Superioare,,
2014,,,,,"Săraci, 40 procente",
2014,,,,,"Înstăriți, 60 procente",
2015,,,,,,25.0
2015,Bărbați,,,,,
2015,Femei,,,,,
2015,,18-29,,,,
2015,,30-44,,,,
2015,,45-59,,,,
2015,,60-74,,,,
2015,,,Urban,,,
2015,,,Rural,,,
2015,,,,Medii incomplete,,
2015,,,,General secondary education,,
2015,,,,Vocational secondary education,,
2015,,,,Superioare,,
2015,,,,,"Săraci, 40 procente",
2015,,,,,"Înstăriți, 60 procente",
2016,,,,,,29.6
2016,Bărbați,,,,,
2016,Femei,,,,,
