Year,Sex,Grupa de vârstă,Value
2010,,,
2010,Bărbați,,
2010,Femei,,
2010,,18-44 ani,
2011,,,
2011,Bărbați,,
2011,Femei,,
2011,,18-44 ani,
2012,,,
2012,Bărbați,,
2012,Femei,,
2012,,18-44 ani,
2013,,,
2013,Bărbați,,
2013,Femei,,
2013,,18-44 ani,
2014,,,
2014,Bărbați,,1.7
2014,Femei,,0.37
2014,,18-44 ani,0.92
2015,,,
2015,Bărbați,,1.68
2015,Femei,,0.39
2015,,18-44 ani,0.87
2016,,,
2016,Bărbați,,1.64
2016,Femei,,0.43
2016,,18-44 ani,0.86
2017,,,
2017,Bărbați,,1.67
2017,Femei,,0.41
2017,,18-44 ani,0.85
2018,,,
2018,Bărbați,,1.71
2018,Femei,,0.38
2018,,18-44 ani,0.7
2019,,,
2019,Bărbați,,1.59
2019,Femei,,0.48
2019,,18-44 ani,1.17
2020,,,
2020,Bărbați,,1.61
2020,Femei,,0.46
2020,,18-44 ani,0.97
2021,,,
2021,Bărbați,,1.28
2021,Femei,,0.76
2021,,18-44 ani,1.12
2022,,,
2022,Bărbați,,1.33
2022,Femei,,0.72
2022,,18-44 ani,1.29
2023,,,
2023,Bărbați,,1.3
2023,Femei,,0.75
2023,,18-44 ani,1.18
2024,,,
2024,Bărbați,,1.33
2024,Femei,,0.73
2024,,18-44 ani,1.06
2025,,,
2025,Bărbați,,
2025,Femei,,
2025,,18-44 ani,
