Year,Sex,Dizabilitate,Value
2010,,,
2010,Bărbați,,
2010,Femei,,
2010,,Dizabilitate,
2011,,,
2011,Bărbați,,
2011,Femei,,
2011,,Dizabilitate,
2012,,,
2012,Bărbați,,
2012,Femei,,
2012,,Dizabilitate,
2013,,,
2013,Bărbați,,1.1
2013,Femei,,0.91
2013,,Dizabilitate,
2014,,,
2014,Bărbați,,1.14
2014,Femei,,0.87
2014,,Dizabilitate,
2015,,,
2015,Bărbați,,1.13
2015,Femei,,0.88
2015,,Dizabilitate,
2016,,,
2016,Bărbați,,
2016,Femei,,
2016,,Dizabilitate,
2017,,,
2017,Bărbați,,
2017,Femei,,
2017,,Dizabilitate,
2018,,,
2018,Bărbați,,1.19
2018,Femei,,0.83
2018,,Dizabilitate,
2019,,,
2019,Bărbați,,1.15
2019,Femei,,0.86
2019,,Dizabilitate,
2020,,,
2020,Bărbați,,1.14
2020,Femei,,0.87
2020,,Dizabilitate,
2021,,,
2021,Bărbați,,1.11
2021,Femei,,0.9
2021,,Dizabilitate,
2022,,,
2022,Bărbați,,1.11
2022,Femei,,0.9
2022,,Dizabilitate,
2023,,,
2023,Bărbați,,1.15
2023,Femei,,0.87
2023,,Dizabilitate,0.17
