Year,Proporția femeilor judecători față de proporția femeilor în populația în vârstă aptă de muncă,Proporția femeilor grefieri și asistenți judiciari față de proporția femeilor în populația în vârstă aptă de muncă,Proporția tinerilor judecători în vârstă de 44 ani și mai puțin față de proporția populației în vârstă aptă de muncă peste vârsta eligibilă pentru un grefier și asistent judiciar și mai puțin de 45 ani,Proporția tinerilor grefieri și asistenți judiciari în vârstă de 44 ani și mai puțin față de proporția populației în vârstă aptă de muncă peste vârsta eligibilă pentru un grefier și asistent judiciar și mai puțin de 45 ani,Proporția judecătorilor cu dizabilitate față de proporția persoanelor cu dizabilități în populația în vârstă aptă de muncă,Proporția grefierilor și asistenților judiciari cu dizabilitate față de proporția persoanelor cu dizabilități în populația în vârstă aptă de muncă,Value
2010,,,,,,,
2010,Constituțională/ Curtea Supremă,,,,,,
2010,Curtea de Apel,,,,,,
2010,Judecătorii,,,,,,
2010,Total (toate nivelurile de instanțe),,,,,,
2010,,Constituțională/ Curtea Supremă,,,,,
2010,,Curtea de Apel,,,,,
2010,,Judecătorii,,,,,
2010,,Total (toate nivelurile de instanțe),,,,,
2010,,,Constituțională/ Curtea Supremă,,,,
2010,,,Curtea de Apel,,,,
2010,,,Judecătorii,,,,
2010,,,Total (toate nivelurile de instanțe),,,,
2010,,,,Constituțională/ Curtea Supremă,,,
2010,,,,Curtea de Apel,,,
2010,,,,Judecătorii,,,
2010,,,,Total (toate nivelurile de instanțe),,,
2010,,,,,Constituțională/ Curtea Supremă,,
2010,,,,,Curtea de Apel,,
2010,,,,,Judecătorii,,
2010,,,,,Total (toate nivelurile de instanțe),,
2010,,,,,,Constituțională/ Curtea Supremă,
2010,,,,,,Curtea de Apel,
2010,,,,,,Judecătorii,
2010,,,,,,Total (toate nivelurile de instanțe),
2011,,,,,,,
2011,Constituțională/ Curtea Supremă,,,,,,
2011,Curtea de Apel,,,,,,
2011,Judecătorii,,,,,,
2011,Total (toate nivelurile de instanțe),,,,,,
2011,,Constituțională/ Curtea Supremă,,,,,
2011,,Curtea de Apel,,,,,
2011,,Judecătorii,,,,,
2011,,Total (toate nivelurile de instanțe),,,,,
2011,,,Constituțională/ Curtea Supremă,,,,
2011,,,Curtea de Apel,,,,
2011,,,Judecătorii,,,,
2011,,,Total (toate nivelurile de instanțe),,,,
2011,,,,Constituțională/ Curtea Supremă,,,
2011,,,,Curtea de Apel,,,
2011,,,,Judecătorii,,,
2011,,,,Total (toate nivelurile de instanțe),,,
2011,,,,,Constituțională/ Curtea Supremă,,
2011,,,,,Curtea de Apel,,
2011,,,,,Judecătorii,,
2011,,,,,Total (toate nivelurile de instanțe),,
2011,,,,,,Constituțională/ Curtea Supremă,
2011,,,,,,Curtea de Apel,
2011,,,,,,Judecătorii,
2011,,,,,,Total (toate nivelurile de instanțe),
2012,,,,,,,
2012,Constituțională/ Curtea Supremă,,,,,,
2012,Curtea de Apel,,,,,,
2012,Judecătorii,,,,,,
2012,Total (toate nivelurile de instanțe),,,,,,
2012,,Constituțională/ Curtea Supremă,,,,,
2012,,Curtea de Apel,,,,,
2012,,Judecătorii,,,,,
2012,,Total (toate nivelurile de instanțe),,,,,
2012,,,Constituțională/ Curtea Supremă,,,,
2012,,,Curtea de Apel,,,,
2012,,,Judecătorii,,,,
2012,,,Total (toate nivelurile de instanțe),,,,
2012,,,,Constituțională/ Curtea Supremă,,,
2012,,,,Curtea de Apel,,,
2012,,,,Judecătorii,,,
2012,,,,Total (toate nivelurile de instanțe),,,
2012,,,,,Constituțională/ Curtea Supremă,,
2012,,,,,Curtea de Apel,,
2012,,,,,Judecătorii,,
2012,,,,,Total (toate nivelurile de instanțe),,
2012,,,,,,Constituțională/ Curtea Supremă,
2012,,,,,,Curtea de Apel,
2012,,,,,,Judecătorii,
2012,,,,,,Total (toate nivelurile de instanțe),
2013,,,,,,,
2013,Constituțională/ Curtea Supremă,,,,,,
2013,Curtea de Apel,,,,,,
2013,Judecătorii,,,,,,
2013,Total (toate nivelurile de instanțe),,,,,,
2013,,Constituțională/ Curtea Supremă,,,,,
2013,,Curtea de Apel,,,,,
2013,,Judecătorii,,,,,
2013,,Total (toate nivelurile de instanțe),,,,,
2013,,,Constituțională/ Curtea Supremă,,,,
2013,,,Curtea de Apel,,,,
2013,,,Judecătorii,,,,
2013,,,Total (toate nivelurile de instanțe),,,,
2013,,,,Constituțională/ Curtea Supremă,,,
2013,,,,Curtea de Apel,,,
2013,,,,Judecătorii,,,
2013,,,,Total (toate nivelurile de instanțe),,,
2013,,,,,Constituțională/ Curtea Supremă,,
2013,,,,,Curtea de Apel,,
2013,,,,,Judecătorii,,
2013,,,,,Total (toate nivelurile de instanțe),,
2013,,,,,,Constituțională/ Curtea Supremă,
2013,,,,,,Curtea de Apel,
2013,,,,,,Judecătorii,
2013,,,,,,Total (toate nivelurile de instanțe),
2014,,,,,,,
2014,Constituțională/ Curtea Supremă,,,,,,
2014,Curtea de Apel,,,,,,
2014,Judecătorii,,,,,,
