Year,Tipuri de produse,Value
2010,,3.7
2010,Produse agricole,11.7
2010,Produse neagricole,2.4
2011,,3.7
2011,Produse agricole,10.9
2011,Produse neagricole,2.6
2012,,3.6
2012,Produse agricole,11.2
2012,Produse neagricole,2.5
2013,,3.4
2013,Produse agricole,10.4
2013,Produse neagricole,2.4
2014,,4.5
2014,Produse agricole,11.5
2014,Produse neagricole,3.4
2015,,4.3
2015,Produse agricole,11.1
2015,Produse neagricole,3.3
2016,,4.5
2016,Produse agricole,11.6
2016,Produse neagricole,3.4
2017,,4.3
2017,Produse agricole,10.9
2017,Produse neagricole,3.3
2018,,4.1
2018,Produse agricole,11.2
2018,Produse neagricole,3.1
2019,,4.2
2019,Produse agricole,11.2
2019,Produse neagricole,3.2
2020,,4.7
2020,Produse agricole,12.4
2020,Produse neagricole,3.4
2021,,
2021,Produse agricole,
2021,Produse neagricole,
2022,,
2022,Produse agricole,
2022,Produse neagricole,
