Year,Indicatori,Value
2010,Comerțul cu mărfuri,0.0
2010,Servicii,0.0
2011,Comerțul cu mărfuri,0.0
2011,Servicii,0.0
2012,Comerțul cu mărfuri,0.0
2012,Servicii,0.0
2013,Comerțul cu mărfuri,0.0
2013,Servicii,0.0
2014,Comerțul cu mărfuri,0.0
2014,Servicii,0.0
2015,Comerțul cu mărfuri,0.0
2015,Servicii,0.0
2016,Comerțul cu mărfuri,0.0
2016,Servicii,0.0
2017,Comerțul cu mărfuri,0.0
2017,Servicii,0.0
2018,Comerțul cu mărfuri,0.0
2018,Servicii,0.0
2019,Comerțul cu mărfuri,0.0
2019,Servicii,0.0
2020,Comerțul cu mărfuri,0.0
2020,Servicii,0.0
2021,Comerțul cu mărfuri,
2021,Servicii,
2022,Comerțul cu mărfuri,
2022,Servicii,
