Year,Disponibilitate,Value
2010,Integral disponibil,
2010,Parțial disponibil,
2010,Nedisponibil,
2011,Integral disponibil,
2011,Parțial disponibil,
2011,Nedisponibil,
2012,Integral disponibil,
2012,Parțial disponibil,
2012,Nedisponibil,
2013,Integral disponibil,
2013,Parțial disponibil,
2013,Nedisponibil,
2014,Integral disponibil,
2014,Parțial disponibil,
2014,Nedisponibil,
2015,Integral disponibil,
2015,Parțial disponibil,
2015,Nedisponibil,
2016,Integral disponibil,
2016,Parțial disponibil,
2016,Nedisponibil,
2017,Integral disponibil,50.0
2017,Parțial disponibil,5.0
2017,Nedisponibil,45.0
2018,Integral disponibil,
2018,Parțial disponibil,
2018,Nedisponibil,
2019,Integral disponibil,
2019,Parțial disponibil,
2019,Nedisponibil,
2020,Integral disponibil,
2020,Parțial disponibil,
2020,Nedisponibil,
2021,Integral disponibil,
2021,Parțial disponibil,
2021,Nedisponibil,
2022,Integral disponibil,
2022,Parțial disponibil,
2022,Nedisponibil,
2023,Integral disponibil,67.0
2023,Parțial disponibil,7.0
2023,Nedisponibil,26.0
