Year,Indicator,Value
2010,,18.2
2010,Volumul remiterilor personale (în dolari americani),1270.3
2011,,20.0
2011,Volumul remiterilor personale (în dolari americani),1684.0
2012,,21.0
2012,Volumul remiterilor personale (în dolari americani),1832.9
2013,,21.8
2013,Volumul remiterilor personale (în dolari americani),2069.6
2014,,20.9
2014,Volumul remiterilor personale (în dolari americani),1965.9
2015,,18.6
2015,Volumul remiterilor personale (în dolari americani),1450.0
2016,,17.4
2016,Volumul remiterilor personale (în dolari americani),1387.3
2017,,16.3
2017,Volumul remiterilor personale (în dolari americani),1556.0
2018,,15.5
2018,Volumul remiterilor personale (în dolari americani),1744.6
2019,,15.5
2019,Volumul remiterilor personale (în dolari americani),1817.3
2020,,15.7
2020,Volumul remiterilor personale (în dolari americani),1810.2
2021,,15.0
2021,Volumul remiterilor personale (în dolari americani),2059.3
2022,,13.8
2022,Volumul remiterilor personale (în dolari americani),1985.8
