Year,Mediu de reședință,Regiuni,Viteze,Value
2010,,,,
2010,Urban,,,
2010,Rural,,,
2010,,Mun. Chișinău,,
2010,,Nord,,
2010,,Centru,,
2010,,Sud,,
2010,,UTA Găgăuzia,,
2010,,,Sub 2 mbps,
2010,,,2-10 mbps,
2010,,,10-30 mbps,
2010,,,Peste 100 Mbps,
2010,,,≤30 Mbps,
2010,,,între 30 Mbps şi 100 Mbps,
2010,,,între 100 Mbps şi 500 Mbps,
2010,,,între 500 Mbps şi 1 Gbps,
2010,,,între 1 Gbps și 5 Gbps,
2010,,,above 5 Gbps ,
2011,,,,
2011,Urban,,,
2011,Rural,,,
2011,,Mun. Chișinău,,
2011,,Nord,,
2011,,Centru,,
2011,,Sud,,
2011,,UTA Găgăuzia,,
2011,,,Sub 2 mbps,
2011,,,2-10 mbps,
2011,,,10-30 mbps,
2011,,,Peste 100 Mbps,
2011,,,≤30 Mbps,
2011,,,între 30 Mbps şi 100 Mbps,
2011,,,între 100 Mbps şi 500 Mbps,
2011,,,între 500 Mbps şi 1 Gbps,
2011,,,între 1 Gbps și 5 Gbps,
2011,,,above 5 Gbps ,
2012,,,,
2012,Urban,,,
2012,Rural,,,
2012,,Mun. Chișinău,,
2012,,Nord,,
2012,,Centru,,
2012,,Sud,,
2012,,UTA Găgăuzia,,
2012,,,Sub 2 mbps,
2012,,,2-10 mbps,
2012,,,10-30 mbps,
2012,,,Peste 100 Mbps,
2012,,,≤30 Mbps,
2012,,,între 30 Mbps şi 100 Mbps,
2012,,,între 100 Mbps şi 500 Mbps,
2012,,,între 500 Mbps şi 1 Gbps,
2012,,,între 1 Gbps și 5 Gbps,
2012,,,above 5 Gbps ,
2013,,,,
2013,Urban,,,
2013,Rural,,,
2013,,Mun. Chișinău,,
2013,,Nord,,
2013,,Centru,,
2013,,Sud,,
2013,,UTA Găgăuzia,,
2013,,,Sub 2 mbps,
2013,,,2-10 mbps,
2013,,,10-30 mbps,
2013,,,Peste 100 Mbps,
2013,,,≤30 Mbps,
2013,,,între 30 Mbps şi 100 Mbps,
2013,,,între 100 Mbps şi 500 Mbps,
2013,,,între 500 Mbps şi 1 Gbps,
2013,,,între 1 Gbps și 5 Gbps,
2013,,,above 5 Gbps ,
2014,,,,17.75
2014,Urban,,,27.93
2014,Rural,,,11.06
2014,,Mun. Chișinău,,31.15
2014,,Nord,,14.34
2014,,Centru,,12.5
2014,,Sud,,13.48
2014,,UTA Găgăuzia,,17.12
2014,,,Sub 2 mbps,1.42
2014,,,2-10 mbps,5.69
2014,,,10-30 mbps,3.3
2014,,,Peste 100 Mbps,0.71
2014,,,≤30 Mbps,
2014,,,între 30 Mbps şi 100 Mbps,6.4
2014,,,între 100 Mbps şi 500 Mbps,
2014,,,între 500 Mbps şi 1 Gbps,
2014,,,între 1 Gbps și 5 Gbps,
2014,,,above 5 Gbps ,
2015,,,,18.77
2015,Urban,,,28.59
2015,Rural,,,12.31
2015,,Mun. Chișinău,,32.93
2015,,Nord,,15.24
2015,,Centru,,13.14
2015,,Sud,,14.18
2015,,UTA Găgăuzia,,18.25
2015,,,Sub 2 mbps,0.82
2015,,,2-10 mbps,1.85
2015,,,10-30 mbps,6.19
2015,,,Peste 100 Mbps,1.05
2015,,,≤30 Mbps,
