Year,Grupa de vârstă / Sex,Value
2010,,
2010,15 ani + / Bărbați,
2010,15 ani +  / Femei,
2011,,
2011,15 ani + / Bărbați,
2011,15 ani +  / Femei,
2012,,
2012,15 ani + / Bărbați,
2012,15 ani +  / Femei,
2013,,
2013,15 ani + / Bărbați,
2013,15 ani +  / Femei,
2014,,
2014,15 ani + / Bărbați,
2014,15 ani +  / Femei,
2015,,19.3
2015,15 ani + / Bărbați,18.9
2015,15 ani +  / Femei,19.1
2016,,21.0
2016,15 ani + / Bărbați,20.3
2016,15 ani +  / Femei,21.2
2017,,24.6
2017,15 ani + / Bărbați,23.2
2017,15 ani +  / Femei,24.9
2018,,27.5
2018,15 ani + / Bărbați,23.7
2018,15 ani +  / Femei,29.9
2019,,27.2
2019,15 ani + / Bărbați,23.8
2019,15 ani +  / Femei,29.6
2020,,24.9
2020,15 ani + / Bărbați,21.1
2020,15 ani +  / Femei,28.4
2021,,
2021,15 ani + / Bărbați,
2021,15 ani +  / Femei,
2022,,
2022,15 ani + / Bărbați,
2022,15 ani +  / Femei,
