Year,Mediu de reședință,Sex,Value
2010,,,7.4
2010,Urban,,7.2
2010,Rural,,7.5
2010,,Bărbați,9.1
2010,,Femei,5.7
2011,,,6.9
2011,Urban,,6.3
2011,Rural,,7.2
2011,,Bărbați,8.6
2011,,Femei,5.1
2012,,,6.4
2012,Urban,,6.0
2012,Rural,,6.6
2012,,Bărbați,6.4
2012,,Femei,6.4
2013,,,6.2
2013,Urban,,7.1
2013,Rural,,5.6
2013,,Bărbați,6.3
2013,,Femei,6.0
2014,,,5.9
2014,Urban,,4.5
2014,Rural,,6.7
2014,,Bărbați,7.2
2014,,Femei,4.6
2015,,,6.0
2015,Urban,,5.5
2015,Rural,,6.4
2015,,Bărbați,7.3
2015,,Femei,4.7
2016,,,6.1
2016,Urban,,5.8
2016,Rural,,6.2
2016,,Bărbați,7.0
2016,,Femei,5.1
2017,,,5.6
2017,Urban,,5.5
2017,Rural,,5.7
2017,,Bărbați,6.2
2017,,Femei,5.0
2018,,,6.3
2018,Urban,,7.1
2018,Rural,,5.7
2018,,Bărbați,7.1
2018,,Femei,5.4
2019,,,5.8
2019,Urban,,6.1
2019,Rural,,5.5
2019,,Bărbați,5.7
2019,,Femei,5.8
2020,,,6.4
2020,Urban,,5.4
2020,Rural,,7.0
2020,,Bărbați,6.4
2020,,Femei,6.3
2021,,,6.3
2021,Urban,,5.4
2021,Rural,,6.8
2021,,Bărbați,7.0
2021,,Femei,5.5
2022,,,6.5
2022,Urban,,6.3
2022,Rural,,6.7
2022,,Bărbați,6.8
2022,,Femei,6.2
2023,,,7.17
2023,Urban,,5.64
2023,Rural,,8.25
2023,,Bărbați,7.48
2023,,Femei,6.85
2024,,,9.22
2024,Urban,,
2024,Rural,,
2024,,Bărbați,9.81
2024,,Femei,8.59
2025,,,6.34
2025,Urban,,
2025,Rural,,
2025,,Bărbați,6.48
2025,,Femei,6.18
