Year,Sex,Copii până la 18 ani,Value
2010,,,
2010,Bărbați,,
2010,Femei,,
2010,,Total până la 18 ani,
2010,,Băieți până la 18 ani,
2010,,Fete până la 18 ani,
2011,,,
2011,Bărbați,,
2011,Femei,,
2011,,Total până la 18 ani,
2011,,Băieți până la 18 ani,
2011,,Fete până la 18 ani,
2012,,,
2012,Bărbați,,
2012,Femei,,
2012,,Total până la 18 ani,
2012,,Băieți până la 18 ani,
2012,,Fete până la 18 ani,
2013,,,
2013,Bărbați,,
2013,Femei,,
2013,,Total până la 18 ani,
2013,,Băieți până la 18 ani,
2013,,Fete până la 18 ani,
2014,,,20.3
2014,Bărbați,,36.3
2014,Femei,,5.6
2014,,Total până la 18 ani,0.2
2014,,Băieți până la 18 ani,0.4
2014,,Fete până la 18 ani,0.1
2015,,,19.6
2015,Bărbați,,34.0
2015,Femei,,6.3
2015,,Total până la 18 ani,0.1
2015,,Băieți până la 18 ani,0.2
2015,,Fete până la 18 ani,0.1
2016,,,19.5
2016,Bărbați,,34.3
2016,Femei,,5.8
2016,,Total până la 18 ani,0.3
2016,,Băieți până la 18 ani,0.4
2016,,Fete până la 18 ani,0.2
2017,,,18.4
2017,Bărbați,,33.0
2017,Femei,,4.9
2017,,Total până la 18 ani,0.3
2017,,Băieți până la 18 ani,0.4
2017,,Fete până la 18 ani,0.1
2018,,,18.1
2018,Bărbați,,32.9
2018,Femei,,4.5
2018,,Total până la 18 ani,0.1
2018,,Băieți până la 18 ani,0.2
2018,,Fete până la 18 ani,0.1
2019,,,17.5
2019,Bărbați,,31.4
2019,Femei,,4.9
2019,,Total până la 18 ani,0.2
2019,,Băieți până la 18 ani,0.2
2019,,Fete până la 18 ani,0.1
2020,,,18.5
2020,Bărbați,,32.3
2020,Femei,,5.9
2020,,Total până la 18 ani,0.2
2020,,Băieți până la 18 ani,0.2
2020,,Fete până la 18 ani,0.2
2021,,,17.8
2021,Bărbați,,30.5
2021,Femei,,6.2
2021,,Total până la 18 ani,0.2
2021,,Băieți până la 18 ani,0.2
2021,,Fete până la 18 ani,0.2
2022,,,
2022,Bărbați,,
2022,Femei,,
2022,,Total până la 18 ani,
2022,,Băieți până la 18 ani,
2022,,Fete până la 18 ani,
