Year,Sex,Mediul de reședință,Mediul de reședință/Sex,Grupa de vârstă/sex,Value
2010,,,,,
2010,Bărbați,,,,
2010,Femei,,,,
2010,,Urban,,,
2010,,Rural,,,
2010,,,Urban/Bărbați,,
2010,,,Rural/Bărbați,,
2010,,,Urban/Femei,,
2010,,,Rural/Femei,,
2010,,,,15-24/Bărbați,
2010,,,,15-24/ Women,
2010,,,,25-34/Bărbați,
2010,,,,25-34/Femei,
2010,,,,35-44/Bărbați,
2010,,,,35-44/Femei,
2010,,,,45-49/Bărbați,
2010,,,,45-49/Femei,
2011,,,,,
2011,Bărbați,,,,
2011,Femei,,,,
2011,,Urban,,,
2011,,Rural,,,
2011,,,Urban/Bărbați,,
2011,,,Rural/Bărbați,,
2011,,,Urban/Femei,,
2011,,,Rural/Femei,,
2011,,,,15-24/Bărbați,
2011,,,,15-24/ Women,
2011,,,,25-34/Bărbați,
2011,,,,25-34/Femei,
2011,,,,35-44/Bărbați,
2011,,,,35-44/Femei,
2011,,,,45-49/Bărbați,
2011,,,,45-49/Femei,
2012,,,,,68.5
2012,Bărbați,,,,80.0
2012,Femei,,,,57.0
2012,,Urban,,,
2012,,Rural,,,
2012,,,Urban/Bărbați,,78.0
2012,,,Rural/Bărbați,,81.0
2012,,,Urban/Femei,,61.0
2012,,,Rural/Femei,,54.0
2012,,,,15-24/Bărbați,71.2
2012,,,,15-24/ Women,48.7
2012,,,,25-34/Bărbați,85.4
2012,,,,25-34/Femei,59.8
2012,,,,35-44/Bărbați,84.6
2012,,,,35-44/Femei,62.7
2012,,,,45-49/Bărbați,79.6
2012,,,,45-49/Femei,59.8
2013,,,,,61.9
2013,Bărbați,,,,69.8
2013,Femei,,,,53.5
2013,,Urban,,,59.0
2013,,Rural,,,64.5
2013,,,Urban/Bărbați,,
2013,,,Rural/Bărbați,,
2013,,,Urban/Femei,,
2013,,,Rural/Femei,,
2013,,,,15-24/Bărbați,
2013,,,,15-24/ Women,
2013,,,,25-34/Bărbați,
2013,,,,25-34/Femei,
2013,,,,35-44/Bărbați,
2013,,,,35-44/Femei,
2013,,,,45-49/Bărbați,
2013,,,,45-49/Femei,
2014,,,,,
2014,Bărbați,,,,
2014,Femei,,,,
2014,,Urban,,,
2014,,Rural,,,
2014,,,Urban/Bărbați,,
2014,,,Rural/Bărbați,,
2014,,,Urban/Femei,,
2014,,,Rural/Femei,,
2014,,,,15-24/Bărbați,
2014,,,,15-24/ Women,
2014,,,,25-34/Bărbați,
2014,,,,25-34/Femei,
2014,,,,35-44/Bărbați,
2014,,,,35-44/Femei,
2014,,,,45-49/Bărbați,
2014,,,,45-49/Femei,
2015,,,,,
