Year,Sex,Value
2010,,12.3
2010,Bărbați,19.3
2010,Femei,6.0
2011,,13.5
2011,Bărbați,21.1
2011,Femei,6.6
2012,,14.4
2012,Bărbați,22.6
2012,Femei,7.0
2013,,13.9
2013,Bărbați,21.9
2013,Femei,6.7
2014,,13.0
2014,Bărbați,20.6
2014,Femei,6.2
2015,,12.3
2015,Bărbați,19.6
2015,Femei,5.7
2016,,12.3
2016,Bărbați,19.7
2016,Femei,5.7
2017,,12.7
2017,Bărbați,20.4
2017,Femei,5.9
2018,,12.8
2018,Bărbați,20.6
2018,Femei,5.9
2019,,12.8
2019,Bărbați,20.6
2019,Femei,5.9
2020,,
2020,Bărbați,
2020,Femei,
2021,,
2021,Bărbați,
2021,Femei,
2022,,
2022,Bărbați,
2022,Femei,
