Year,Capacități ale sectorului de sănătate,Capacitățile sectorului medical (2010-2020),Value
2010,,,
2010,"(1) Politici, instrumente legale și normative pentru implementarea RSI",,
2010,"(2) Coordonare RSI, Punct focal național RSI, funcții și advocacy",,
2010,(3) Finanțare,,
2010,(4) Laboratorul,,
2010,5) Supravegherea,,
2010,(6) Resursele umane,,
2010,(7) Managementul urgențelor de sănătate,,
2010,(8) Asigurarea serviciilor de asistență medicală,,
2010,(9) Profilaxia și controlul infecțiilor,,
2010,(10) Comunicarea riscurilor și implicarea comunității (RCCE),,
2010,(11) Punctele de intrare (PoE) și sănătatea la frontiere,,
2010,(12) Evenimente zoonotice,,
2010,(13) Siguranța alimentelor,,
2010,(14) Evenimente  chimice,,
2010,(15) Urgențe radionucleare,,
2010,,"(01) legislația, politicile  și finanțarea națională",100.0
2010,,(02) coordonarea și legătura cu punctele focale  naționale,75.0
2010,,(03) supravegherea,80.0
2010,,(04) răspunsul,73.0
2010,,(05) pregătirea,51.0
2010,,(06) comunicarea  riscurilor,50.0
2010,,(07) resursele umane,0.0
2010,,(08) laboratorul,54.0
2010,,(09) punctele de intrare,42.0
2010,,(10)  evenimente zoonotice,92.0
2010,,(11) siguranța alimentelor,93.0
2010,,(12) evenimente  chimice,50.0
2010,,(13) urgențe radionucleare,100.0
2011,,,
2011,"(1) Politici, instrumente legale și normative pentru implementarea RSI",,
2011,"(2) Coordonare RSI, Punct focal național RSI, funcții și advocacy",,
2011,(3) Finanțare,,
2011,(4) Laboratorul,,
2011,5) Supravegherea,,
2011,(6) Resursele umane,,
2011,(7) Managementul urgențelor de sănătate,,
2011,(8) Asigurarea serviciilor de asistență medicală,,
2011,(9) Profilaxia și controlul infecțiilor,,
2011,(10) Comunicarea riscurilor și implicarea comunității (RCCE),,
2011,(11) Punctele de intrare (PoE) și sănătatea la frontiere,,
2011,(12) Evenimente zoonotice,,
2011,(13) Siguranța alimentelor,,
2011,(14) Evenimente  chimice,,
2011,(15) Urgențe radionucleare,,
2011,,"(01) legislația, politicile  și finanțarea națională",100.0
2011,,(02) coordonarea și legătura cu punctele focale  naționale,83.0
2011,,(03) supravegherea,90.0
2011,,(04) răspunsul,93.0
2011,,(05) pregătirea,52.0
2011,,(06) comunicarea  riscurilor,57.0
2011,,(07) resursele umane,25.0
2011,,(08) laboratorul,60.0
2011,,(09) punctele de intrare,77.0
2011,,(10)  evenimente zoonotice,89.0
2011,,(11) siguranța alimentelor,75.0
2011,,(12) evenimente  chimice,75.0
2011,,(13) urgențe radionucleare,100.0
2012,,,
2012,"(1) Politici, instrumente legale și normative pentru implementarea RSI",,
2012,"(2) Coordonare RSI, Punct focal național RSI, funcții și advocacy",,
2012,(3) Finanțare,,
2012,(4) Laboratorul,,
