Year,Mediul de reședință,Statut socio-economic al elevilor,Sex,Value
2010,,,,
2010,Urban,,,
2010,Rural,,,
2010,,Dezavantajați,,
2010,,Avantajați,,
2010,,,Băieți,
2010,,,Fete,
2011,,,,
2011,Urban,,,
2011,Rural,,,
2011,,Dezavantajați,,
2011,,Avantajați,,
2011,,,Băieți,
2011,,,Fete,
2012,,,,
2012,Urban,,,
2012,Rural,,,
2012,,Dezavantajați,,
2012,,Avantajați,,
2012,,,Băieți,
2012,,,Fete,
2013,,,,
2013,Urban,,,
2013,Rural,,,
2013,,Dezavantajați,,
2013,,Avantajați,,
2013,,,Băieți,
2013,,,Fete,
2014,,,,
2014,Urban,,,
2014,Rural,,,
2014,,Dezavantajați,,
2014,,Avantajați,,
2014,,,Băieți,
2014,,,Fete,
2015,,,,39.3
2015,Urban,,,
2015,Rural,,,
2015,,Dezavantajați,,
2015,,Avantajați,,
2015,,,Băieți,
2015,,,Fete,
2016,,,,
2016,Urban,,,
2016,Rural,,,
2016,,Dezavantajați,,
2016,,Avantajați,,
2016,,,Băieți,
2016,,,Fete,
2017,,,,
2017,Urban,,,
2017,Rural,,,
2017,,Dezavantajați,,
2017,,Avantajați,,
2017,,,Băieți,
2017,,,Fete,
2018,,,,50.0
2018,Urban,,,61.1
2018,Rural,,,36.6
2018,,Dezavantajați,,27.8
2018,,Avantajați,,73.1
2018,,,Băieți,49.3
2018,,,Fete,50.0
2019,,,,
2019,Urban,,,
2019,Rural,,,
2019,,Dezavantajați,,
2019,,Avantajați,,
2019,,,Băieți,
2019,,,Fete,
2020,,,,
2020,Urban,,,
2020,Rural,,,
2020,,Dezavantajați,,
2020,,Avantajați,,
2020,,,Băieți,
2020,,,Fete,
2021,,,,
2021,Urban,,,
2021,Rural,,,
2021,,Dezavantajați,,
2021,,Avantajați,,
2021,,,Băieți,
2021,,,Fete,
2022,,,,
2022,Urban,,,
2022,Rural,,,
2022,,Dezavantajați,,
2022,,Avantajați,,
2022,,,Băieți,
2022,,,Fete,
