Year,Sex,Mediu de reședință,Value
2010,,,
2010,Băieți,,
2010,Fete,,
2010,,Urban,
2010,,Rural,
2011,,,
2011,Băieți,,
2011,Fete,,
2011,,Urban,
2011,,Rural,
2012,,,
2012,Băieți,,
2012,Fete,,
2012,,Urban,
2012,,Rural,
2013,,,
2013,Băieți,,
2013,Fete,,
2013,,Urban,
2013,,Rural,
2014,,,
2014,Băieți,,
2014,Fete,,
2014,,Urban,
2014,,Rural,
2015,,,106.621
2015,Băieți,,107.017
2015,Fete,,106.206
2015,,Urban,129.236
2015,,Rural,93.886
2016,,,107.241
2016,Băieți,,107.657
2016,Fete,,106.796
2016,,Urban,124.639
2016,,Rural,96.474
2017,,,101.782
2017,Băieți,,102.424
2017,Fete,,101.095
2017,,Urban,119.861
2017,,Rural,90.159
2018,,,102.427
2018,Băieți,,105.066
2018,Fete,,99.706
2018,,Urban,120.042
2018,,Rural,90.175
2019,,,104.138
2019,Băieți,,104.209
2019,Fete,,104.062
2019,,Urban,122.502
2019,,Rural,91.274
2020,,,106.426
2020,Băieți,,107.545
2020,Fete,,105.259
2020,,Urban,123.427
2020,,Rural,93.683
2021,,,107.626
2021,Băieți,,108.139
2021,Fete,,107.09
2021,,Urban,124.741
2021,,Rural,94.347
2022,,,107.6
2022,Băieți,,108.2
2022,Fete,,107.0
2022,,Urban,123.7
2022,,Rural,94.2
2023,,,108.1
2023,Băieți,,108.4
2023,Fete,,107.8
2023,,Urban,129.5
2023,,Rural,90.9
2024,,,109.8
2024,Băieți,,111.6
2024,Fete,,108.0
2024,,Urban,132.5
2024,,Rural,91.3
