Year,Mediul de reședință,Sex,Grupa de vârstă / Sex,Value
2010,,,,
2010,Urban,,,
2010,Rural,,,
2010,,Bărbați,,
2010,,Femei,,
2010,,,15-24 ani / Ambele sexe,
2010,,,15-24 ani / Bărbați,
2010,,,15-24 ani / Femei,
2010,,,25-64 ani / Ambele sexe,
2010,,,25-64 ani / Bărbați,
2010,,,25-64 ani / Femei,
2011,,,,
2011,Urban,,,
2011,Rural,,,
2011,,Bărbați,,
2011,,Femei,,
2011,,,15-24 ani / Ambele sexe,
2011,,,15-24 ani / Bărbați,
2011,,,15-24 ani / Femei,
2011,,,25-64 ani / Ambele sexe,
2011,,,25-64 ani / Bărbați,
2011,,,25-64 ani / Femei,
2012,,,,
2012,Urban,,,
2012,Rural,,,
2012,,Bărbați,,
2012,,Femei,,
2012,,,15-24 ani / Ambele sexe,
2012,,,15-24 ani / Bărbați,
2012,,,15-24 ani / Femei,
2012,,,25-64 ani / Ambele sexe,
2012,,,25-64 ani / Bărbați,
2012,,,25-64 ani / Femei,
2013,,,,
2013,Urban,,,
2013,Rural,,,
2013,,Bărbați,,
2013,,Femei,,
2013,,,15-24 ani / Ambele sexe,
2013,,,15-24 ani / Bărbați,
2013,,,15-24 ani / Femei,
2013,,,25-64 ani / Ambele sexe,
2013,,,25-64 ani / Bărbați,
2013,,,25-64 ani / Femei,
2014,,,,12.635
2014,Urban,,,13.197
2014,Rural,,,12.255
2014,,Bărbați,,12.622
2014,,Femei,,12.647
2014,,,15-24 ani / Ambele sexe,56.351
2014,,,15-24 ani / Bărbați,51.642
2014,,,15-24 ani / Femei,61.768
2014,,,25-64 ani / Ambele sexe,0.958
2014,,,25-64 ani / Bărbați,0.805
2014,,,25-64 ani / Femei,1.095
2015,,,,11.897
2015,Urban,,,11.648
2015,Rural,,,12.065
2015,,Bărbați,,11.6
2015,,Femei,,12.178
2015,,,15-24 ani / Ambele sexe,55.693
2015,,,15-24 ani / Bărbați,51.354
2015,,,15-24 ani / Femei,60.448
2015,,,25-64 ani / Ambele sexe,0.929
2015,,,25-64 ani / Bărbați,0.686
2015,,,25-64 ani / Femei,1.151
2016,,,,11.756
2016,Urban,,,11.487
2016,Rural,,,11.938
2016,,Bărbați,,11.822
2016,,Femei,,11.694
2016,,,15-24 ani / Ambele sexe,57.323
2016,,,15-24 ani / Bărbați,53.532
2016,,,15-24 ani / Femei,61.537
2016,,,25-64 ani / Ambele sexe,1.01
2016,,,25-64 ani / Bărbați,0.922
2016,,,25-64 ani / Femei,1.09
2017,,,,11.88
2017,Urban,,,12.464
2017,Rural,,,11.496
2017,,Bărbați,,12.067
2017,,Femei,,11.703
2017,,,15-24 ani / Ambele sexe,57.744
2017,,,15-24 ani / Bărbați,54.592
2017,,,15-24 ani / Femei,61.283
2017,,,25-64 ani / Ambele sexe,1.7
2017,,,25-64 ani / Bărbați,1.576
2017,,,25-64 ani / Femei,1.812
2018,,,,10.915
2018,Urban,,,12.338
2018,Rural,,,9.979
2018,,Bărbați,,10.676
2018,,Femei,,11.137
2018,,,15-24 ani / Ambele sexe,57.572
2018,,,15-24 ani / Bărbați,52.748
2018,,,15-24 ani / Femei,62.885
2018,,,25-64 ani / Ambele sexe,1.234
2018,,,25-64 ani / Bărbați,1.018
2018,,,25-64 ani / Femei,1.428
2019,,,,10.46
2019,Urban,,,11.47
2019,Rural,,,9.784
2019,,Bărbați,,10.537
2019,,Femei,,10.39
2019,,,15-24 ani / Ambele sexe,57.305
2019,,,15-24 ani / Bărbați,54.708
2019,,,15-24 ani / Femei,60.055
2019,,,25-64 ani / Ambele sexe,1.292
2019,,,25-64 ani / Bărbați,1.163
2019,,,25-64 ani / Femei,1.408
2020,,,,10.765
2020,Urban,,,11.315
2020,Rural,,,10.399
2020,,Bărbați,,10.687
2020,,Femei,,10.84
2020,,,15-24 ani / Ambele sexe,62.51
2020,,,15-24 ani / Bărbați,59.683
2020,,,15-24 ani / Femei,65.546
2020,,,25-64 ani / Ambele sexe,1.061
2020,,,25-64 ani / Bărbați,0.796
2020,,,25-64 ani / Femei,1.307
2021,,,,10.791
2021,Urban,,,11.658
2021,Rural,,,10.214
2021,,Bărbați,,10.737
2021,,Femei,,10.842
2021,,,15-24 ani / Ambele sexe,63.865
2021,,,15-24 ani / Bărbați,61.011
2021,,,15-24 ani / Femei,66.863
2021,,,25-64 ani / Ambele sexe,1.076
2021,,,25-64 ani / Bărbați,0.935
2021,,,25-64 ani / Femei,1.206
2022,,,,10.793
2022,Urban,,,11.961
2022,Rural,,,10.007
2022,,Bărbați,,10.592
2022,,Femei,,10.98
2022,,,15-24 ani / Ambele sexe,63.279
2022,,,15-24 ani / Bărbați,60.742
2022,,,15-24 ani / Femei,65.786
2022,,,25-64 ani / Ambele sexe,1.258
2022,,,25-64 ani / Bărbați,1.135
2022,,,25-64 ani / Femei,1.371
2023,,,,11.869
2023,Urban,,,13.639
2023,Rural,,,10.516
2023,,Bărbați,,11.18
2023,,Femei,,12.491
2023,,,15-24 ani / Ambele sexe,66.869
2023,,,15-24 ani / Bărbați,63.234
2023,,,15-24 ani / Femei,70.409
2023,,,25-64 ani / Ambele sexe,2.188
2023,,,25-64 ani / Bărbați,1.593
2023,,,25-64 ani / Femei,2.719
