Year,Mediul de reședință,Nivele de educație,Value
2010,,,100
2010,Urban,,100
2010,Rural,,100
2010,,Educație timpurie,100
2010,,învățământ primar,100
2010,,mediu general,100
2010,,liceal,100
2011,,,100
2011,Urban,,100
2011,Rural,,100
2011,,Educație timpurie,100
2011,,învățământ primar,100
2011,,mediu general,100
2011,,liceal,100
2012,,,100
2012,Urban,,100
2012,Rural,,100
2012,,Educație timpurie,100
2012,,învățământ primar,100
2012,,mediu general,100
2012,,liceal,100
2013,,,100
2013,Urban,,100
2013,Rural,,100
2013,,Educație timpurie,100
2013,,învățământ primar,100
2013,,mediu general,100
2013,,liceal,100
2014,,,100
2014,Urban,,100
2014,Rural,,100
2014,,Educație timpurie,100
2014,,învățământ primar,100
2014,,mediu general,100
2014,,liceal,100
2015,,,100
2015,Urban,,100
2015,Rural,,100
2015,,Educație timpurie,100
2015,,învățământ primar,100
2015,,mediu general,100
2015,,liceal,100
2016,,,100
2016,Urban,,100
2016,Rural,,100
2016,,Educație timpurie,100
2016,,învățământ primar,100
2016,,mediu general,100
2016,,liceal,100
2017,,,100
2017,Urban,,100
2017,Rural,,100
2017,,Educație timpurie,100
2017,,învățământ primar,100
2017,,mediu general,100
2017,,liceal,100
2018,,,100
2018,Urban,,100
2018,Rural,,100
2018,,Educație timpurie,100
2018,,învățământ primar,100
2018,,mediu general,100
2018,,liceal,100
2019,,,100
2019,Urban,,100
2019,Rural,,100
2019,,Educație timpurie,100
2019,,învățământ primar,100
2019,,mediu general,100
2019,,liceal,100
2020,,,100
2020,Urban,,100
2020,Rural,,100
2020,,Educație timpurie,100
2020,,învățământ primar,100
2020,,mediu general,100
2020,,liceal,100
2021,,,100
2021,Urban,,100
2021,Rural,,100
2021,,Educație timpurie,100
2021,,învățământ primar,100
2021,,mediu general,100
2021,,liceal,100
2022,,,100
2022,Urban,,100
2022,Rural,,100
2022,,Educație timpurie,100
2022,,învățământ primar,100
2022,,mediu general,100
2022,,liceal,100
2023,,,100
2023,Urban,,100
2023,Rural,,100
2023,,Educație timpurie,100
2023,,învățământ primar,100
2023,,mediu general,100
2023,,liceal,100
