Year,Domenii,Value
2010,,
2010,Cadru legal și viață publică,
2010,Violența împotriva femeilor,
2010,Ocupare și beneficii economice,
2010,Căsătorie și familie,
2011,,
2011,Cadru legal și viață publică,
2011,Violența împotriva femeilor,
2011,Ocupare și beneficii economice,
2011,Căsătorie și familie,
2012,,
2012,Cadru legal și viață publică,
2012,Violența împotriva femeilor,
2012,Ocupare și beneficii economice,
2012,Căsătorie și familie,
2013,,
2013,Cadru legal și viață publică,
2013,Violența împotriva femeilor,
2013,Ocupare și beneficii economice,
2013,Căsătorie și familie,
2014,,
2014,Cadru legal și viață publică,
2014,Violența împotriva femeilor,
2014,Ocupare și beneficii economice,
2014,Căsătorie și familie,
2015,,
2015,Cadru legal și viață publică,
2015,Violența împotriva femeilor,
2015,Ocupare și beneficii economice,
2015,Căsătorie și familie,
2016,,
2016,Cadru legal și viață publică,
2016,Violența împotriva femeilor,
2016,Ocupare și beneficii economice,
2016,Căsătorie și familie,
2017,,
2017,Cadru legal și viață publică,
2017,Violența împotriva femeilor,
2017,Ocupare și beneficii economice,
2017,Căsătorie și familie,
2018,,
2018,Cadru legal și viață publică,
2018,Violența împotriva femeilor,
2018,Ocupare și beneficii economice,
2018,Căsătorie și familie,
2019,,
2019,Cadru legal și viață publică,
2019,Violența împotriva femeilor,
2019,Ocupare și beneficii economice,
2019,Căsătorie și familie,
2020,,
2020,Cadru legal și viață publică,100.0
2020,Violența împotriva femeilor,77.8
2020,Ocupare și beneficii economice,100.0
2020,Căsătorie și familie,81.8
2021,,
2021,Cadru legal și viață publică,
2021,Violența împotriva femeilor,
2021,Ocupare și beneficii economice,
2021,Căsătorie și familie,
2022,,
2022,Cadru legal și viață publică,100.0
2022,Violența împotriva femeilor,77.8
2022,Ocupare și beneficii economice,100.0
2022,Căsătorie și familie,81.8
2023,,
2023,Cadru legal și viață publică,
2023,Violența împotriva femeilor,
2023,Ocupare și beneficii economice,
2023,Căsătorie și familie,
2024,,
2024,Cadru legal și viață publică,100.0
2024,Violența împotriva femeilor,77.8
2024,Ocupare și beneficii economice,100.0
2024,Căsătorie și familie,81.8
2025,,
2025,Cadru legal și viață publică,100.0
2025,Violența împotriva femeilor,77.8
2025,Ocupare și beneficii economice,100.0
2025,Căsătorie și familie,81.8
