Year,Mediu de reședință,Sex,Grupa de vârstă,Value
2010,,,,
2010,Urban,,,
2010,Rural,,,
2010,,Bărbați,,
2010,,Femei,,
2010,,,15-24 ani,
2010,,,25-44 years,
2010,,,45-54  years,
2010,,,55-64 ani,
2010,,,65 ani +,
2011,,,,
2011,Urban,,,
2011,Rural,,,
2011,,Bărbați,,
2011,,Femei,,
2011,,,15-24 ani,
2011,,,25-44 years,
2011,,,45-54  years,
2011,,,55-64 ani,
2011,,,65 ani +,
2012,,,,13.5
2012,Urban,,,7.8
2012,Rural,,,18.0
2012,,Bărbați,,13.9
2012,,Femei,,13.1
2012,,,15-24 ani,9.8
2012,,,25-44 years,15.6
2012,,,45-54  years,12.7
2012,,,55-64 ani,14.2
2012,,,65 ani +,13.9
2013,,,,
2013,Urban,,,
2013,Rural,,,
2013,,Bărbați,,
2013,,Femei,,
2013,,,15-24 ani,
2013,,,25-44 years,
2013,,,45-54  years,
2013,,,55-64 ani,
2013,,,65 ani +,
2014,,,,
2014,Urban,,,
2014,Rural,,,
2014,,Bărbați,,
2014,,Femei,,
2014,,,15-24 ani,
2014,,,25-44 years,
2014,,,45-54  years,
2014,,,55-64 ani,
2014,,,65 ani +,
2015,,,,
2015,Urban,,,
2015,Rural,,,
2015,,Bărbați,,
2015,,Femei,,
2015,,,15-24 ani,
2015,,,25-44 years,
2015,,,45-54  years,
2015,,,55-64 ani,
2015,,,65 ani +,
2016,,,,
2016,Urban,,,
2016,Rural,,,
2016,,Bărbați,,
2016,,Femei,,
2016,,,15-24 ani,
2016,,,25-44 years,
2016,,,45-54  years,
2016,,,55-64 ani,
2016,,,65 ani +,
2017,,,,
2017,Urban,,,
2017,Rural,,,
2017,,Bărbați,,
2017,,Femei,,
2017,,,15-24 ani,
2017,,,25-44 years,
2017,,,45-54  years,
2017,,,55-64 ani,
2017,,,65 ani +,
2018,,,,
2018,Urban,,,
2018,Rural,,,
2018,,Bărbați,,
2018,,Femei,,
2018,,,15-24 ani,
2018,,,25-44 years,
2018,,,45-54  years,
2018,,,55-64 ani,
2018,,,65 ani +,
2019,,,,
2019,Urban,,,
2019,Rural,,,
2019,,Bărbați,,
2019,,Femei,,
2019,,,15-24 ani,
2019,,,25-44 years,
2019,,,45-54  years,
2019,,,55-64 ani,
2019,,,65 ani +,
2020,,,,
2020,Urban,,,
2020,Rural,,,
2020,,Bărbați,,
2020,,Femei,,
2020,,,15-24 ani,
2020,,,25-44 years,
2020,,,45-54  years,
2020,,,55-64 ani,
2020,,,65 ani +,
2021,,,,
2021,Urban,,,
2021,Rural,,,
2021,,Bărbați,,
2021,,Femei,,
2021,,,15-24 ani,
2021,,,25-44 years,
2021,,,45-54  years,
2021,,,55-64 ani,
2021,,,65 ani +,
2022,,,,
2022,Urban,,,
2022,Rural,,,
2022,,Bărbați,,
2022,,Femei,,
2022,,,15-24 ani,
2022,,,25-44 years,
2022,,,45-54  years,
2022,,,55-64 ani,
2022,,,65 ani +,
2023,,,,
2023,Urban,,,
2023,Rural,,,
2023,,Bărbați,,
2023,,Femei,,
2023,,,15-24 ani,
2023,,,25-44 years,
2023,,,45-54  years,
2023,,,55-64 ani,
2023,,,65 ani +,
2024,,,,
2024,Urban,,,
2024,Rural,,,
2024,,Bărbați,,
2024,,Femei,,
2024,,,15-24 ani,
2024,,,25-44 years,
2024,,,45-54  years,
2024,,,55-64 ani,
2024,,,65 ani +,
2025,,,,15.7
2025,Urban,,,11.7
2025,Rural,,,19.1
2025,,Bărbați,,15.4
2025,,Femei,,16.0
2025,,,15-24 ani,11.7
2025,,,25-44 years,17.6
2025,,,45-54  years,14.1
2025,,,55-64 ani,15.8
2025,,,65 ani +,16.5
