Year,Nivele,Value
2010,,
2010,"Autorități publice locale, nivelul I",
2010,"Autorități publice locale, nivelul II",
2011,,27.7
2011,"Autorități publice locale, nivelul I",28.7
2011,"Autorități publice locale, nivelul II",17.8
2012,,
2012,"Autorități publice locale, nivelul I",
2012,"Autorități publice locale, nivelul II",
2013,,
2013,"Autorități publice locale, nivelul I",
2013,"Autorități publice locale, nivelul II",
2014,,
2014,"Autorități publice locale, nivelul I",
2014,"Autorități publice locale, nivelul II",
2015,,28.9
2015,"Autorități publice locale, nivelul I",30.0
2015,"Autorități publice locale, nivelul II",18.5
2016,,
2016,"Autorități publice locale, nivelul I",
2016,"Autorități publice locale, nivelul II",
2017,,
2017,"Autorități publice locale, nivelul I",
2017,"Autorități publice locale, nivelul II",
2018,,
2018,"Autorități publice locale, nivelul I",
2018,"Autorități publice locale, nivelul II",
2019,,35.6
2019,"Autorități publice locale, nivelul I",36.5
2019,"Autorități publice locale, nivelul II",27.1
2020,,
2020,"Autorități publice locale, nivelul I",
2020,"Autorități publice locale, nivelul II",
2021,,
2021,"Autorități publice locale, nivelul I",
2021,"Autorități publice locale, nivelul II",
2022,,
2022,"Autorități publice locale, nivelul I",
2022,"Autorități publice locale, nivelul II",
