Year,Nivelul autorități publice,Tip funcție,Value
2010,,,
2010,Administrația publică centrală,,
2010,"Autorități publice locale, nivelul I",,
2010,"Autorități publice locale, nivelul II",,
2010,,Conducere nivel superior,
2010,,Conducere,
2010,,Execuție,
2011,,,
2011,Administrația publică centrală,,
2011,"Autorități publice locale, nivelul I",,
2011,"Autorități publice locale, nivelul II",,
2011,,Conducere nivel superior,
2011,,Conducere,
2011,,Execuție,
2012,,,71.1
2012,Administrația publică centrală,,70.5
2012,"Autorități publice locale, nivelul I",,75.7
2012,"Autorități publice locale, nivelul II",,66.8
2012,,Conducere nivel superior,30.0
2012,,Conducere,64.8
2012,,Execuție,73.8
2013,,,71.3
2013,Administrația publică centrală,,70.8
2013,"Autorități publice locale, nivelul I",,75.6
2013,"Autorități publice locale, nivelul II",,67.2
2013,,Conducere nivel superior,33.3
2013,,Conducere,65.1
2013,,Execuție,73.3
2014,,,71.3
2014,Administrația publică centrală,,70.6
2014,"Autorități publice locale, nivelul I",,75.8
2014,"Autorități publice locale, nivelul II",,68.0
2014,,Conducere nivel superior,37.0
2014,,Conducere,65.3
2014,,Execuție,73.4
2015,,,71.9
2015,Administrația publică centrală,,71.2
2015,"Autorități publice locale, nivelul I",,76.1
2015,"Autorități publice locale, nivelul II",,68.7
2015,,Conducere nivel superior,34.7
2015,,Conducere,65.9
2015,,Execuție,73.9
2016,,,72.5
2016,Administrația publică centrală,,
2016,"Autorități publice locale, nivelul I",,
2016,"Autorități publice locale, nivelul II",,
2016,,Conducere nivel superior,
2016,,Conducere,
2016,,Execuție,
2017,,,
2017,Administrația publică centrală,,
2017,"Autorități publice locale, nivelul I",,
2017,"Autorități publice locale, nivelul II",,
2017,,Conducere nivel superior,
2017,,Conducere,
2017,,Execuție,
2018,,,71.1
2018,Administrația publică centrală,,65.3
2018,"Autorități publice locale, nivelul I",,73.4
2018,"Autorități publice locale, nivelul II",,74.4
2018,,Conducere nivel superior,40.0
2018,,Conducere,68.4
2018,,Execuție,72.1
2019,,,74.2
2019,Administrația publică centrală,,73.0
2019,"Autorități publice locale, nivelul I",,77.6
2019,"Autorități publice locale, nivelul II",,72.8
2019,,Conducere nivel superior,51.6
2019,,Conducere,70.5
2019,,Execuție,75.4
2020,,,73.6
2020,Administrația publică centrală,,72.0
2020,"Autorități publice locale, nivelul I",,77.9
2020,"Autorități publice locale, nivelul II",,72.7
2020,,Conducere nivel superior,40.9
2020,,Conducere,69.4
2020,,Execuție,75.0
2021,,,74.4
2021,Administrația publică centrală,,73.1
2021,"Autorități publice locale, nivelul I",,76.8
2021,"Autorități publice locale, nivelul II",,74.9
2021,,Conducere nivel superior,60.0
2021,,Conducere,70.4
2021,,Execuție,75.7
2022,,,74.6
2022,Administrația publică centrală,,73.4
2022,"Autorități publice locale, nivelul I",,76.2
2022,"Autorități publice locale, nivelul II",,76.4
2022,,Conducere nivel superior,56.5
2022,,Conducere,70.6
2022,,Execuție,75.8
2023,,,75.3
2023,Administrația publică centrală,,73.5
2023,"Autorități publice locale, nivelul I",,80.1
2023,"Autorități publice locale, nivelul II",,74.7
2023,,Conducere nivel superior,59.6
2023,,Conducere,72.3
2023,,Execuție,76.2
2024,,,75.6
2024,Administrația publică centrală,,73.6
2024,"Autorități publice locale, nivelul I",,80.7
2024,"Autorități publice locale, nivelul II",,75.5
2024,,Conducere nivel superior,53.4
2024,,Conducere,75.0
2024,,Execuție,75.9
