Year,Componente,Value
2010,,
2010,1. Îngrijire maternă,
2010,2. Produse care salvează vieți,
2010,3. Avort,
2010,4. Îngrijire post-avort,
2010,5. Servicii contraceptive,
2010,6. Consimțământ contraceptiv,
2010,7. Contracepție de urgență,
2010,8. Legislație privind curriculumul de educație sexuală,
2010,9. Subiecte din curriculumul de educație sexuală,
2010,10. Servicii de consiliere și testare HIV,
2010,11. Servicii de tratament și îngrijire HIV,
2010,12. Confidențialitate HIV,
2010,13. Vaccin HPV,
2011,,
2011,1. Îngrijire maternă,
2011,2. Produse care salvează vieți,
2011,3. Avort,
2011,4. Îngrijire post-avort,
2011,5. Servicii contraceptive,
2011,6. Consimțământ contraceptiv,
2011,7. Contracepție de urgență,
2011,8. Legislație privind curriculumul de educație sexuală,
2011,9. Subiecte din curriculumul de educație sexuală,
2011,10. Servicii de consiliere și testare HIV,
2011,11. Servicii de tratament și îngrijire HIV,
2011,12. Confidențialitate HIV,
2011,13. Vaccin HPV,
2012,,
2012,1. Îngrijire maternă,
2012,2. Produse care salvează vieți,
2012,3. Avort,
2012,4. Îngrijire post-avort,
2012,5. Servicii contraceptive,
2012,6. Consimțământ contraceptiv,
2012,7. Contracepție de urgență,
2012,8. Legislație privind curriculumul de educație sexuală,
2012,9. Subiecte din curriculumul de educație sexuală,
2012,10. Servicii de consiliere și testare HIV,
2012,11. Servicii de tratament și îngrijire HIV,
2012,12. Confidențialitate HIV,
2012,13. Vaccin HPV,
2013,,
2013,1. Îngrijire maternă,
2013,2. Produse care salvează vieți,
2013,3. Avort,
2013,4. Îngrijire post-avort,
2013,5. Servicii contraceptive,
2013,6. Consimțământ contraceptiv,
2013,7. Contracepție de urgență,
2013,8. Legislație privind curriculumul de educație sexuală,
2013,9. Subiecte din curriculumul de educație sexuală,
2013,10. Servicii de consiliere și testare HIV,
2013,11. Servicii de tratament și îngrijire HIV,
2013,12. Confidențialitate HIV,
2013,13. Vaccin HPV,
2014,,
2014,1. Îngrijire maternă,
2014,2. Produse care salvează vieți,
2014,3. Avort,
2014,4. Îngrijire post-avort,
2014,5. Servicii contraceptive,
2014,6. Consimțământ contraceptiv,
2014,7. Contracepție de urgență,
2014,8. Legislație privind curriculumul de educație sexuală,
2014,9. Subiecte din curriculumul de educație sexuală,
2014,10. Servicii de consiliere și testare HIV,
2014,11. Servicii de tratament și îngrijire HIV,
2014,12. Confidențialitate HIV,
2014,13. Vaccin HPV,
2015,,
2015,1. Îngrijire maternă,
2015,2. Produse care salvează vieți,
2015,3. Avort,
2015,4. Îngrijire post-avort,
2015,5. Servicii contraceptive,
2015,6. Consimțământ contraceptiv,
2015,7. Contracepție de urgență,
2015,8. Legislație privind curriculumul de educație sexuală,
2015,9. Subiecte din curriculumul de educație sexuală,
2015,10. Servicii de consiliere și testare HIV,
2015,11. Servicii de tratament și îngrijire HIV,
2015,12. Confidențialitate HIV,
2015,13. Vaccin HPV,
2016,,
2016,1. Îngrijire maternă,
2016,2. Produse care salvează vieți,
2016,3. Avort,
2016,4. Îngrijire post-avort,
2016,5. Servicii contraceptive,
2016,6. Consimțământ contraceptiv,
2016,7. Contracepție de urgență,
2016,8. Legislație privind curriculumul de educație sexuală,
2016,9. Subiecte din curriculumul de educație sexuală,
2016,10. Servicii de consiliere și testare HIV,
2016,11. Servicii de tratament și îngrijire HIV,
2016,12. Confidențialitate HIV,
2016,13. Vaccin HPV,
2017,,
2017,1. Îngrijire maternă,
2017,2. Produse care salvează vieți,
2017,3. Avort,
2017,4. Îngrijire post-avort,
2017,5. Servicii contraceptive,
2017,6. Consimțământ contraceptiv,
2017,7. Contracepție de urgență,
2017,8. Legislație privind curriculumul de educație sexuală,
2017,9. Subiecte din curriculumul de educație sexuală,
2017,10. Servicii de consiliere și testare HIV,
2017,11. Servicii de tratament și îngrijire HIV,
2017,12. Confidențialitate HIV,
2017,13. Vaccin HPV,
2018,,
2018,1. Îngrijire maternă,
2018,2. Produse care salvează vieți,
2018,3. Avort,
2018,4. Îngrijire post-avort,
2018,5. Servicii contraceptive,
2018,6. Consimțământ contraceptiv,
2018,7. Contracepție de urgență,
2018,8. Legislație privind curriculumul de educație sexuală,
2018,9. Subiecte din curriculumul de educație sexuală,
2018,10. Servicii de consiliere și testare HIV,
2018,11. Servicii de tratament și îngrijire HIV,
2018,12. Confidențialitate HIV,
2018,13. Vaccin HPV,
2019,,
2019,1. Îngrijire maternă,75.0
2019,2. Produse care salvează vieți,100.0
2019,3. Avort,75.0
2019,4. Îngrijire post-avort,100.0
2019,5. Servicii contraceptive,100.0
2019,6. Consimțământ contraceptiv,100.0
2019,7. Contracepție de urgență,0.0
2019,8. Legislație privind curriculumul de educație sexuală,100.0
2019,9. Subiecte din curriculumul de educație sexuală,
2019,10. Servicii de consiliere și testare HIV,80.0
2019,11. Servicii de tratament și îngrijire HIV,80.0
2019,12. Confidențialitate HIV,75.0
2019,13. Vaccin HPV,100.0
2020,,
2020,1. Îngrijire maternă,
