Year,Mediul de reședință,Sexul capului gospodăriei,Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,Bărbați,
2010,,Femei,
2011,,,
2011,Urban,,
2011,Rural,,
2011,,Bărbați,
2011,,Femei,
2012,,,
2012,Urban,,
2012,Rural,,
2012,,Bărbați,
2012,,Femei,
2013,,,
2013,Urban,,
2013,Rural,,
2013,,Bărbați,
2013,,Femei,
2014,,,148.0
2014,Urban,,170.0
2014,Rural,,130.0
2014,,Bărbați,167.0
2014,,Femei,118.0
2015,,,151.0
2015,Urban,,173.0
2015,Rural,,133.0
2015,,Bărbați,172.0
2015,,Femei,117.0
2016,,,152.0
2016,Urban,,172.0
2016,Rural,,137.0
2016,,Bărbați,172.0
2016,,Femei,123.0
2017,,,156.0
2017,Urban,,175.0
2017,Rural,,142.0
2017,,Bărbați,176.0
2017,,Femei,126.0
2018,,,154.0
2018,Urban,,173.0
2018,Rural,,141.0
2018,,Bărbați,174.0
2018,,Femei,125.0
2019,,,167.0
2019,Urban,,183.0
2019,Rural,,156.0
2019,,Bărbați,189.0
2019,,Femei,132.0
2020,,,170.0
2020,Urban,,180.0
2020,Rural,,164.0
2020,,Bărbați,191.0
2020,,Femei,138.0
2021,,,172.0
2021,Urban,,187.0
2021,Rural,,161.0
2021,,Bărbați,198.0
2021,,Femei,133.0
2022,,,173.0
2022,Urban,,193.0
2022,Rural,,162.0
2022,,Bărbați,198.0
2022,,Femei,138.0
