Year,Mediul de reședință,Regiuni statistice,Quintile pe cheltuielile de consum,Sexul capului gospodăriei,Value
2010,,,,,
2010,Urban,,,,
2010,Rural,,,,
2010,,Municipiul Chișinău,,,
2010,,Nord,,,
2010,,Centru,,,
2010,,Sud,,,
2010,,,I,,
2010,,,II,,
2010,,,III,,
2010,,,IV,,
2010,,,V,,
2010,,,,Bărbați,
2010,,,,Femei,
2011,,,,,
2011,Urban,,,,
2011,Rural,,,,
2011,,Municipiul Chișinău,,,
2011,,Nord,,,
2011,,Centru,,,
2011,,Sud,,,
2011,,,I,,
2011,,,II,,
2011,,,III,,
2011,,,IV,,
2011,,,V,,
2011,,,,Bărbați,
2011,,,,Femei,
2012,,,,,
2012,Urban,,,,
2012,Rural,,,,
2012,,Municipiul Chișinău,,,
2012,,Nord,,,
2012,,Centru,,,
2012,,Sud,,,
2012,,,I,,
2012,,,II,,
2012,,,III,,
2012,,,IV,,
2012,,,V,,
2012,,,,Bărbați,
2012,,,,Femei,
2013,,,,,
2013,Urban,,,,
2013,Rural,,,,
2013,,Municipiul Chișinău,,,
2013,,Nord,,,
2013,,Centru,,,
2013,,Sud,,,
2013,,,I,,
2013,,,II,,
2013,,,III,,
2013,,,IV,,
2013,,,V,,
2013,,,,Bărbați,
2013,,,,Femei,
2014,,,,,73.1
2014,Urban,,,,95.5
2014,Rural,,,,56.9
2014,,Municipiul Chișinău,,,98.1
2014,,Nord,,,52.4
2014,,Centru,,,66.9
2014,,Sud,,,81.9
2014,,,I,,48.9
2014,,,II,,65.9
2014,,,III,,74.0
2014,,,IV,,85.1
2014,,,V,,91.3
2014,,,,Bărbați,73.3
2014,,,,Femei,72.6
2015,,,,,77.0
2015,Urban,,,,95.6
2015,Rural,,,,63.6
2015,,Municipiul Chișinău,,,98.8
2015,,Nord,,,57.0
2015,,Centru,,,70.1
2015,,Sud,,,89.9
2015,,,I,,56.0
2015,,,II,,71.3
2015,,,III,,76.1
2015,,,IV,,87.7
2015,,,V,,93.7
2015,,,,Bărbați,76.8
2015,,,,Femei,77.3
2016,,,,,77.2
2016,Urban,,,,95.3
2016,Rural,,,,64.2
2016,,Municipiul Chișinău,,,98.7
2016,,Nord,,,57.2
2016,,Centru,,,71.2
2016,,Sud,,,89.4
2016,,,I,,56.7
2016,,,II,,71.4
2016,,,III,,79.2
2016,,,IV,,85.5
2016,,,V,,93.5
2016,,,,Bărbați,77.1
2016,,,,Femei,77.6
2017,,,,,80.8
2017,Urban,,,,95.7
2017,Rural,,,,70.4
2017,,Municipiul Chișinău,,,98.0
2017,,Nord,,,61.0
2017,,Centru,,,80.2
2017,,Sud,,,89.4
2017,,,I,,61.1
2017,,,II,,75.5
2017,,,III,,82.0
2017,,,IV,,89.7
2017,,,V,,95.7
2017,,,,Bărbați,81.1
2017,,,,Femei,80.2
2018,,,,,82.1
2018,Urban,,,,97.0
2018,Rural,,,,71.7
2018,,Municipiul Chișinău,,,97.9
2018,,Nord,,,62.7
2018,,Centru,,,81.5
2018,,Sud,,,91.7
2018,,,I,,65.1
2018,,,II,,78.7
2018,,,III,,82.4
2018,,,IV,,88.9
2018,,,V,,95.4
2018,,,,Bărbați,82.5
2018,,,,Femei,81.3
2019,,,,,83.144
2019,Urban,,,,97.348
2019,Rural,,,,73.765
2019,,Municipiul Chișinău,,,97.988
2019,,Nord,,,71.689
2019,,Centru,,,81.181
2019,,Sud,,,84.671
2019,,,I,,65.309
2019,,,II,,79.766
2019,,,III,,84.028
2019,,,IV,,91.257
2019,,,V,,95.378
2019,,,,Bărbați,84.21
2019,,,,Femei,80.88
2020,,,,,85.342
2020,Urban,,,,98.882
2020,Rural,,,,76.421
2020,,Municipiul Chișinău,,,99.129
2020,,Nord,,,73.61
2020,,Centru,,,83.883
2020,,Sud,,,87.912
2020,,,I,,73.477
2020,,,II,,81.699
2020,,,III,,83.321
2020,,,IV,,90.591
2020,,,V,,97.625
2020,,,,Bărbați,86.611
2020,,,,Femei,82.773
2021,,,,,86.411
2021,Urban,,,,97.788
2021,Rural,,,,78.933
2021,,Municipiul Chișinău,,,98.719
2021,,Nord,,,75.808
2021,,Centru,,,84.126
2021,,Sud,,,90.538
2021,,,I,,72.086
2021,,,II,,82.127
2021,,,III,,88.291
2021,,,IV,,92.165
2021,,,V,,97.418
2021,,,,Bărbați,87.191
2021,,,,Femei,84.806
2022,,,,,88.522
2022,Urban,,,,99.116
2022,Rural,,,,81.564
2022,,Municipiul Chișinău,,,99.404
2022,,Nord,,,79.572
2022,,Centru,,,86.0
2022,,Sud,,,92.359
2022,,,I,,79.791
2022,,,II,,85.131
2022,,,III,,86.785
2022,,,IV,,92.224
2022,,,V,,98.678
2022,,,,Bărbați,89.439
2022,,,,Femei,86.724
2023,,,,,90.729
2023,Urban,,,,99.165
2023,Rural,,,,84.387
2023,,Municipiul Chișinău,,,99.084
2023,,Nord,,,82.031
2023,,Centru,,,89.197
2023,,Sud,,,93.748
2023,,,I,,82.436
2023,,,II,,89.21
2023,,,III,,90.516
2023,,,IV,,93.737
2023,,,V,,97.741
2023,,,,Bărbați,90.987
2023,,,,Femei,90.233
