Year,Mediul de reședință,Quintile de bunăstare,Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,I,
2010,,II,
2010,,III,
2010,,IV,
2010,,V,
2011,,,
2011,Urban,,
2011,Rural,,
2011,,I,
2011,,II,
2011,,III,
2011,,IV,
2011,,V,
2012,,,91.7
2012,Urban,,95.7
2012,Rural,,89.8
2012,,I,86.8
2012,,II,91.6
2012,,III,92.5
2012,,IV,98.6
2012,,V,97.8
2013,,,
2013,Urban,,
2013,Rural,,
2013,,I,
2013,,II,
2013,,III,
2013,,IV,
2013,,V,
2014,,,
2014,Urban,,
2014,Rural,,
2014,,I,
2014,,II,
2014,,III,
2014,,IV,
2014,,V,
2015,,,
2015,Urban,,
2015,Rural,,
2015,,I,
2015,,II,
2015,,III,
2015,,IV,
2015,,V,
2016,,,90.2
2016,Urban,,93.6
2016,Rural,,87.0
2016,,I,
2016,,II,
2016,,III,
2016,,IV,
2016,,V,
2017,,,
2017,Urban,,
2017,Rural,,
2017,,I,
2017,,II,
2017,,III,
2017,,IV,
2017,,V,
2018,,,
2018,Urban,,
2018,Rural,,
2018,,I,
2018,,II,
2018,,III,
2018,,IV,
2018,,V,
2019,,,90.2
2019,Urban,,93.5
2019,Rural,,88.0
2019,,I,
2019,,II,
2019,,III,
2019,,IV,
2019,,V,
2020,,,91.5
2020,Urban,,94.1
2020,Rural,,90.0
2020,,I,
2020,,II,
2020,,III,
2020,,IV,
2020,,V,
2021,,,92.5
2021,Urban,,95.3
2021,Rural,,91.0
2021,,I,
2021,,II,
2021,,III,
2021,,IV,
2021,,V,
2022,,,
2022,Urban,,
2022,Rural,,
2022,,I,
2022,,II,
2022,,III,
2022,,IV,
2022,,V,
