Year,Tipuri de surse,Value
2010,,
2010,Surse centralizate subterane,
2010,Surse centralizate de suprafață,
2010,Surse descentralizate de alimentare cu apă (fîntîni),
2011,,
2011,Surse centralizate subterane,
2011,Surse centralizate de suprafață,
2011,Surse descentralizate de alimentare cu apă (fîntîni),
2012,,
2012,Surse centralizate subterane,11.0
2012,Surse centralizate de suprafață,20.9
2012,Surse descentralizate de alimentare cu apă (fîntîni),39.8
2013,,
2013,Surse centralizate subterane,12.2
2013,Surse centralizate de suprafață,11.3
2013,Surse descentralizate de alimentare cu apă (fîntîni),42.0
2014,,
2014,Surse centralizate subterane,11.6
2014,Surse centralizate de suprafață,10.0
2014,Surse descentralizate de alimentare cu apă (fîntîni),36.3
2015,,
2015,Surse centralizate subterane,13.0
2015,Surse centralizate de suprafață,10.0
2015,Surse descentralizate de alimentare cu apă (fîntîni),40.0
2016,,
2016,Surse centralizate subterane,14.7
2016,Surse centralizate de suprafață,32.0
2016,Surse descentralizate de alimentare cu apă (fîntîni),47.7
2017,,
2017,Surse centralizate subterane,15.1
2017,Surse centralizate de suprafață,31.8
2017,Surse descentralizate de alimentare cu apă (fîntîni),55.0
2018,,
2018,Surse centralizate subterane,20.0
2018,Surse centralizate de suprafață,45.0
2018,Surse descentralizate de alimentare cu apă (fîntîni),50.0
2019,,
2019,Surse centralizate subterane,20.0
2019,Surse centralizate de suprafață,37.0
2019,Surse descentralizate de alimentare cu apă (fîntîni),48.0
2020,,
2020,Surse centralizate subterane,23.0
2020,Surse centralizate de suprafață,34.7
2020,Surse descentralizate de alimentare cu apă (fîntîni),56.6
2021,,
2021,Surse centralizate subterane,26.0
2021,Surse centralizate de suprafață,44.0
2021,Surse descentralizate de alimentare cu apă (fîntîni),61.2
2022,,
2022,Surse centralizate subterane,20.0
2022,Surse centralizate de suprafață,58.5
2022,Surse descentralizate de alimentare cu apă (fîntîni),60.0
