Year,Fluvial,Value
2010,Râul Prut,100.0
2010,Dniester river,
2011,Râul Prut,100.0
2011,Dniester river,
2012,Râul Prut,100.0
2012,Dniester river,
2013,Râul Prut,100.0
2013,Dniester river,
2014,Râul Prut,100.0
2014,Dniester river,
2015,Râul Prut,100.0
2015,Dniester river,
2016,Râul Prut,100.0
2016,Dniester river,
2017,Râul Prut,100.0
2017,Dniester river,
2018,Râul Prut,100.0
2018,Dniester river,100.0
2019,Râul Prut,100.0
2019,Dniester river,100.0
2020,Râul Prut,100.0
2020,Dniester river,100.0
2021,Râul Prut,100.0
2021,Dniester river,100.0
2022,Râul Prut,100.0
2022,Dniester river,100.0
2023,Râul Prut,100.0
2023,Dniester river,100.0
2024,Râul Prut,100.0
2024,Dniester river,100.0
2025,Râul Prut,100.0
2025,Dniester river,100.0
