Year,Tipuri de energie,Value
2010,,2633
2010,Cărbune,116
2010,Gaze naturale,962
2010,Produse petroliere,776
2010,Biocombustibili și deșeuri,512
2010,Energie electrică,267
2011,,2676
2011,Cărbune,120
2011,Gaze naturale,930
2011,Produse petroliere,812
2011,Biocombustibili și deșeuri,537
2011,Energie electrică,277
2012,,2624
2012,Cărbune,116
2012,Gaze naturale,885
2012,Produse petroliere,764
2012,Biocombustibili și deșeuri,574
2012,Energie electrică,285
2013,,2643
2013,Cărbune,150
2013,Gaze naturale,834
2013,Produse petroliere,785
2013,Biocombustibili și deșeuri,584
2013,Energie electrică,290
2014,,2669
2014,Cărbune,95
2014,Gaze naturale,850
2014,Produse petroliere,803
2014,Biocombustibili și deșeuri,629
2014,Energie electrică,292
2015,,2686
2015,Cărbune,102
2015,Gaze naturale,816
2015,Produse petroliere,829
2015,Biocombustibili și deșeuri,650
2015,Energie electrică,289
2016,,2796
2016,Cărbune,75
2016,Gaze naturale,837
2016,Produse petroliere,896
2016,Biocombustibili și deșeuri,698
2016,Energie electrică,290
2017,,2939
2017,Cărbune,105
2017,Gaze naturale,836
2017,Produse petroliere,937
2017,Biocombustibili și deșeuri,764
2017,Energie electrică,297
2018,,3066
2018,Cărbune,80
2018,Gaze naturale,911
2018,Produse petroliere,1002
2018,Biocombustibili și deșeuri,766
2018,Energie electrică,307
2019,,2938
2019,Cărbune,102
2019,Gaze naturale,855
2019,Produse petroliere,1018
2019,Biocombustibili și deșeuri,652
2019,Energie electrică,311
2020,,2807
2020,Cărbune,79
2020,Gaze naturale,872
2020,Produse petroliere,946
2020,Biocombustibili și deșeuri,609
2020,Energie electrică,301
2021,,3115
2021,Cărbune,90
2021,Gaze naturale,997
2021,Produse petroliere,1064
2021,Biocombustibili și deșeuri,640
2021,Energie electrică,324
2022,,2770
2022,Cărbune,64
2022,Gaze naturale,710
2022,Produse petroliere,1113
2022,Biocombustibili și deșeuri,549
2022,Energie electrică,334
2023,,2632
2023,Cărbune,53
2023,Gaze naturale,579
2023,Produse petroliere,1130
2023,Biocombustibili și deșeuri,544
2023,Energie electrică,326
2024,,2735
2024,Cărbune,53
2024,Gaze naturale,734
2024,Produse petroliere,1103
2024,Biocombustibili și deșeuri,497
2024,Energie electrică,348
