Year,Sectoare,Value
2010,,2313
2010,Industrie,227
2010,Transport,597
2010,Sector rezidențial,1142
2010,Servicii,276
2010,Agricultură,71
2011,,2376
2011,Industrie,235
2011,Transport,630
2011,Sector rezidențial,1165
2011,Servicii,277
2011,Agricultură,69
2012,,2321
2012,Industrie,239
2012,Transport,569
2012,Sector rezidențial,1183
2012,Servicii,270
2012,Agricultură,60
2013,,2348
2013,Industrie,257
2013,Transport,595
2013,Sector rezidențial,1173
2013,Servicii,259
2013,Agricultură,64
2014,,2357
2014,Industrie,235
2014,Transport,618
2014,Sector rezidențial,1195
2014,Servicii,245
2014,Agricultură,64
2015,,2410
2015,Industrie,209
2015,Transport,662
2015,Sector rezidențial,1205
2015,Servicii,260
2015,Agricultură,74
2016,,2525
2016,Industrie,203
2016,Transport,717
2016,Sector rezidențial,1257
2016,Servicii,268
2016,Agricultură,80
2017,,2671
2017,Industrie,218
2017,Transport,734
2017,Sector rezidențial,1346
2017,Servicii,266
2017,Agricultură,107
2018,,2765
2018,Industrie,251
2018,Transport,758
2018,Sector rezidențial,1364
2018,Servicii,283
2018,Agricultură,109
2019,,2672
2019,Industrie,234
2019,Transport,769
2019,Sector rezidențial,1274
2019,Servicii,272
2019,Agricultură,123
2020,,2531
2020,Industrie,226
2020,Transport,681
2020,Sector rezidențial,1245
2020,Servicii,255
2020,Agricultură,124
2021,,2853
2021,Industrie,245
2021,Transport,789
2021,Sector rezidențial,1368
2021,Servicii,290
2021,Agricultură,161
