Year,Type of renewable technology,Value
2010,,20.67
2010,Bioenergie,20.67
2010,Geotermală,0.0
2010,Hidroelectrică,0.0
2010,Multiplă,0.0
2010,Solară,0.0
2010,Eoliană,0.0
2011,,3.25
2011,Bioenergie,0.02
2011,Geotermală,0.0
2011,Hidroelectrică,0.0
2011,Multiplă,0.0
2011,Solară,3.23
2011,Eoliană,0.0
2012,,3.59
2012,Bioenergie,0.11
2012,Geotermală,0.0
2012,Hidroelectrică,0.0
2012,Multiplă,0.31
2012,Solară,0.0
2012,Eoliană,3.16
2013,,23.58
2013,Bioenergie,22.43
2013,Geotermală,0.0
2013,Hidroelectrică,0.0
2013,Multiplă,1.15
2013,Solară,0.0
2013,Eoliană,0.0
2014,,1.71
2014,Bioenergie,0.03
2014,Geotermală,0.0
2014,Hidroelectrică,0.0
2014,Multiplă,1.65
2014,Solară,0.03
2014,Eoliană,0.0
2015,,0.6
2015,Bioenergie,0.02
2015,Geotermală,0.0
2015,Hidroelectrică,0.0
2015,Multiplă,0.5
2015,Solară,0.09
2015,Eoliană,0.0
2016,,0.29
2016,Bioenergie,0.0
2016,Geotermală,0.0
2016,Hidroelectrică,0.0
2016,Multiplă,0.02
2016,Solară,0.27
2016,Eoliană,0.0
2017,,0.26
2017,Bioenergie,0.0
2017,Geotermală,0.0
2017,Hidroelectrică,0.0
2017,Multiplă,25.95
2017,Solară,0.05
2017,Eoliană,0.0
2018,,0.11
2018,Bioenergie,0.0
2018,Geotermală,0.0
2018,Hidroelectrică,0.0
2018,Multiplă,0.01
2018,Solară,0.11
2018,Eoliană,0.0
2019,,0.25
2019,Bioenergie,0.0
2019,Geotermală,0.0
2019,Hidroelectrică,0.0
2019,Multiplă,0.12
2019,Solară,0.06
2019,Eoliană,0.06
2020,,0.1
2020,Bioenergie,0.0
2020,Geotermală,0.0
2020,Hidroelectrică,0.0
2020,Multiplă,0.06
2020,Solară,0.04
2020,Eoliană,0.0
2021,,0.92
2021,Bioenergie,0.0
2021,Geotermală,0.0
2021,Hidroelectrică,0.0
2021,Multiplă,0.06
2021,Solară,0.3
2021,Eoliană,0.0
2022,,26.08
2022,Bioenergie,0.0
2022,Geotermală,0.0
2022,Hidroelectrică,0.0
2022,Multiplă,18.85
2022,Solară,0.82
2022,Eoliană,0.0
2023,,15.3
2023,Bioenergie,0.0
2023,Geotermală,0.0
2023,Hidroelectrică,0.0
2023,Multiplă,35.31
2023,Solară,1.51
2023,Eoliană,0.0
2024,,169.89
2024,Bioenergie,0.83
2024,Geotermală,0.0
2024,Hidroelectrică,0.0
2024,Multiplă,125.3
2024,Solară,43.77
2024,Eoliană,0.0
