Year,Tipuri de resurse,Value
2010,,6.2
2010,Boimass,3.4
2010,Combustibili fosili,0.2
2010,Minereuri metalice,0.0
2010,Minerale nemetalice,2.5
2011,,6.3
2011,Boimass,3.4
2011,Combustibili fosili,0.3
2011,Minereuri metalice,0.0
2011,Minerale nemetalice,2.6
2012,,7.0
2012,Boimass,3.0
2012,Combustibili fosili,0.2
2012,Minereuri metalice,0.0
2012,Minerale nemetalice,3.7
2013,,7.3
2013,Boimass,3.7
2013,Combustibili fosili,0.3
2013,Minereuri metalice,0.0
2013,Minerale nemetalice,3.3
2014,,7.8
2014,Boimass,4.0
2014,Combustibili fosili,0.2
2014,Minereuri metalice,0.0
2014,Minerale nemetalice,3.5
2015,,6.6
2015,Boimass,3.0
2015,Combustibili fosili,0.2
2015,Minereuri metalice,0.0
2015,Minerale nemetalice,3.4
2016,,7.2
2016,Boimass,3.7
2016,Combustibili fosili,0.2
2016,Minereuri metalice,0.0
2016,Minerale nemetalice,3.3
2017,,8.0
2017,Boimass,4.2
2017,Combustibili fosili,0.2
2017,Minereuri metalice,0.0
2017,Minerale nemetalice,3.5
2018,,8.7
2018,Boimass,4.3
2018,Combustibili fosili,0.2
2018,Minereuri metalice,0.0
2018,Minerale nemetalice,4.1
2019,,8.9
2019,Boimass,4.3
2019,Combustibili fosili,0.2
2019,Minereuri metalice,0.1
2019,Minerale nemetalice,4.3
2020,,
2020,Boimass,
2020,Combustibili fosili,
2020,Minereuri metalice,
2020,Minerale nemetalice,
2021,,
2021,Boimass,
2021,Combustibili fosili,
2021,Minereuri metalice,
2021,Minerale nemetalice,
2022,,
2022,Boimass,
2022,Combustibili fosili,
2022,Minereuri metalice,
2022,Minerale nemetalice,
