Year,Tipuri de resurse,Value
2010,,
2010,Boimass,
2010,Combustibili fosili,
2010,Minereuri metalice,
2010,Minerale nemetalice,
2011,,
2011,Boimass,
2011,Combustibili fosili,
2011,Minereuri metalice,
2011,Minerale nemetalice,
2012,,
2012,Boimass,
2012,Combustibili fosili,
2012,Minereuri metalice,
2012,Minerale nemetalice,
2013,,
2013,Boimass,
2013,Combustibili fosili,
2013,Minereuri metalice,
2013,Minerale nemetalice,
2014,,
2014,Boimass,
2014,Combustibili fosili,
2014,Minereuri metalice,
2014,Minerale nemetalice,
2015,,
2015,Boimass,
2015,Combustibili fosili,
2015,Minereuri metalice,
2015,Minerale nemetalice,
2016,,
2016,Boimass,
2016,Combustibili fosili,
2016,Minereuri metalice,
2016,Minerale nemetalice,
2017,,
2017,Boimass,
2017,Combustibili fosili,
2017,Minereuri metalice,
2017,Minerale nemetalice,
2018,,
2018,Boimass,
2018,Combustibili fosili,
2018,Minereuri metalice,
2018,Minerale nemetalice,
2019,,
2019,Boimass,
2019,Combustibili fosili,
2019,Minereuri metalice,
2019,Minerale nemetalice,
2020,,
2020,Boimass,
2020,Combustibili fosili,
2020,Minereuri metalice,
2020,Minerale nemetalice,
2021,,
2021,Boimass,
2021,Combustibili fosili,
2021,Minereuri metalice,
2021,Minerale nemetalice,
2022,,
2022,Boimass,
2022,Combustibili fosili,
2022,Minereuri metalice,
2022,Minerale nemetalice,
