Year,Sex,Grupa de vârstă,Persoane cu dizabilități,Nivele de educație,Value
2010,,,,,
2010,Bărbați,,,,
2010,Femei,,,,
2010,,15-24,,,
2010,,25-34,,,
2010,,35-44,,,
2010,,45-54,,,
2010,,55-64,,,
2010,,,Total,,
2010,,,,Superior,
2010,,,,Profesional tehnic postsecundar nonterțiar (mediu de specialitate),
2010,,,,Profesional tehnic secundar,
2010,,,,"Liceal, mediu general",
2010,,,,Gimnazial,
2010,,,,Primar sau fără şcoală primară,
2011,,,,,
2011,Bărbați,,,,
2011,Femei,,,,
2011,,15-24,,,
2011,,25-34,,,
2011,,35-44,,,
2011,,45-54,,,
2011,,55-64,,,
2011,,,Total,,
2011,,,,Superior,
2011,,,,Profesional tehnic postsecundar nonterțiar (mediu de specialitate),
2011,,,,Profesional tehnic secundar,
2011,,,,"Liceal, mediu general",
2011,,,,Gimnazial,
2011,,,,Primar sau fără şcoală primară,
2012,,,,,
2012,Bărbați,,,,
2012,Femei,,,,
2012,,15-24,,,
2012,,25-34,,,
2012,,35-44,,,
2012,,45-54,,,
2012,,55-64,,,
2012,,,Total,,
2012,,,,Superior,
2012,,,,Profesional tehnic postsecundar nonterțiar (mediu de specialitate),
2012,,,,Profesional tehnic secundar,
2012,,,,"Liceal, mediu general",
2012,,,,Gimnazial,
2012,,,,Primar sau fără şcoală primară,
2013,,,,,
2013,Bărbați,,,,
2013,Femei,,,,
2013,,15-24,,,
2013,,25-34,,,
2013,,35-44,,,
2013,,45-54,,,
2013,,55-64,,,
2013,,,Total,,
2013,,,,Superior,
2013,,,,Profesional tehnic postsecundar nonterțiar (mediu de specialitate),
2013,,,,Profesional tehnic secundar,
2013,,,,"Liceal, mediu general",
2013,,,,Gimnazial,
2013,,,,Primar sau fără şcoală primară,
2014,,,,,3.7
2014,Bărbați,,,,4.5
2014,Femei,,,,2.9
2014,,15-24,,,9.3
2014,,25-34,,,4.6
2014,,35-44,,,4.0
2014,,45-54,,,2.5
2014,,55-64,,,1.6
2014,,,Total,,
2014,,,,Superior,3.9
2014,,,,Profesional tehnic postsecundar nonterțiar (mediu de specialitate),3.7
2014,,,,Profesional tehnic secundar,3.4
2014,,,,"Liceal, mediu general",4.3
2014,,,,Gimnazial,3.6
2014,,,,Primar sau fără şcoală primară,1.5
2015,,,,,4.7
2015,Bărbați,,,,5.9
2015,Femei,,,,3.4
2015,,15-24,,,12.3
2015,,25-34,,,6.4
2015,,35-44,,,4.5
2015,,45-54,,,2.7
2015,,55-64,,,2.3
2015,,,Total,,
2015,,,,Superior,4.7
2015,,,,Profesional tehnic postsecundar nonterțiar (mediu de specialitate),3.9
