Year,Moduri de transport,Value
2010,,4193.1
2010,Feroviar,958.6
2010,Rutier,3232.4
2010,Fluvial,0.4
2010,Aerian,1.7
2011,,4795.5
2011,Feroviar,1196.0
2011,Rutier,3597.3
2011,Fluvial,0.5
2011,Aerian,1.7
2012,,4916.3
2012,Feroviar,959.5
2012,Rutier,3954.7
2012,Fluvial,0.4
2012,Aerian,1.7
2013,,5651.6
2013,Feroviar,1226.9
2013,Rutier,4423.1
2013,Fluvial,0.5
2013,Aerian,1.1
2014,,5489.7
2014,Feroviar,1181.4
2014,Rutier,4306.5
2014,Fluvial,0.8
2014,Aerian,1.0
2015,,5182.0
2015,Feroviar,963.5
2015,Rutier,4217.3
2015,Fluvial,0.4
2015,Aerian,0.8
2016,,5484.3
2016,Feroviar,789.9
2016,Rutier,4693.4
2016,Fluvial,0.3
2016,Aerian,0.7
2017,,5996.6
2017,Feroviar,987.1
2017,Rutier,5008.4
2017,Fluvial,0.3
2017,Aerian,0.8
2018,,6303.3
2018,Feroviar,1012.0
2018,Rutier,5290.0
2018,Fluvial,0.3
2018,Aerian,1.0
2019,,6508.4
2019,Feroviar,940.3
2019,Rutier,5566.5
2019,Fluvial,0.3
2019,Aerian,1.3
2020,,6151.4
2020,Feroviar,599.0
2020,Rutier,5551.0
2020,Fluvial,0.5
2020,Aerian,1.0
2021,,7012.0
2021,Feroviar,664.5
2021,Rutier,6346.1
2021,Fluvial,0.3
2021,Aerian,1.1
