Year,Value
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2014,5.1
2014,4.9
2014,4.8
2014,7.1
2014,4.0
2014,2.8
2014,2.2
2014,4.9
2015,5.9
2015,5.6
2015,5.6
2015,6.8
2015,5.7
2015,3.8
2015,2.5
2015,5.9
2016,4.8
2016,4.5
2016,3.2
2016,5.9
2016,5.3
2016,2.7
2016,1.9
2016,4.7
2017,5.1
2017,4.9
2017,5.5
2017,5.7
2017,4.6
2017,3.6
2017,2.1
2017,5.1
2018,4.7
2018,4.5
2018,4.6
2018,5.9
2018,3.4
2018,3.2
2018,1.9
2018,4.6
2019,5.2
2019,4.9
2019,6.3
2019,5.1
2019,4.9
2019,2.5
2019,2.8
2019,5.1
2020,4.3
2020,4.1
2020,4.5
2020,6.6
2020,3.2
2020,2.6
2020,1.9
2020,4.3
2021,5.3
2021,5.4
2021,4.8
2021,6.4
2021,5.0
2021,3.9
2021,2.9
2021,5.1
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
