Year,Value
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2014,5.9
2014,5.5
2014,3.8
2014,5.2
2014,15.4
2014,3.0
2014,3.3
2014,3.5
2014,5.1
2014,3.7
2014,3.5
2014,8.5
2015,4.3
2015,2.8
2015,1.8
2015,7.6
2015,3.5
2015,1.7
2015,3.2
2015,6.5
2015,3.3
2015,3.7
2015,2.5
2015,5.8
2016,5.3
2016,6.0
2016,6.3
2016,5.2
2016,4.6
2016,5.8
2016,5.8
2016,2.8
2016,2.4
2016,3.0
2016,3.6
2016,7.1
2017,5.8
2017,5.2
2017,5.7
2017,5.3
2017,9.4
2017,3.1
2017,5.2
2017,6.5
2017,3.8
2017,4.8
2017,3.3
2017,8.2
2018,4.6
2018,4.8
2018,3.0
2018,5.0
2018,8.3
2018,3.4
2018,1.5
2018,4.6
2018,1.8
2018,3.8
2018,5.7
2018,4.1
2019,5.9
2019,8.8
2019,5.6
2019,5.0
2019,5.9
2019,4.8
2019,6.0
2019,7.8
2019,10.2
2019,9.5
2019,6.3
2019,3.4
2020,5.5
2020,7.5
2020,3.9
2020,8.2
2020,5.3
2020,3.0
2020,3.1
2020,5.7
2020,11.7
2020,8.9
2020,5.0
2020,2.8
2021,4.3
2021,6.7
2021,3.0
2021,5.7
2021,1.1
2021,3.4
2021,3.2
2021,6.7
2021,2.7
2021,6.4
2021,5.7
2021,2.7
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
