Year,Value
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2014,15.4
2014,16.4
2014,16.8
2014,8.2
2014,9.6
2014,16.8
2014,18.5
2014,29.8
2014,12.6
2014,16.8
2014,18.4
2014,19.2
2014,19.7
2015,18.0
2015,18.3
2015,21.4
2015,12.5
2015,12.5
2015,18.2
2015,24.5
2015,33.8
2015,15.1
2015,19.1
2015,19.3
2015,23.9
2015,23.5
2016,17.2
2016,17.1
2016,19.2
2016,11.1
2016,11.1
2016,18.4
2016,23.5
2016,31.1
2016,14.4
2016,16.3
2016,20.8
2016,22.2
2016,22.9
2017,16.3
2017,16.8
2017,19.0
2017,7.9
2017,9.9
2017,17.9
2017,24.3
2017,31.9
2017,15.6
2017,15.6
2017,16.7
2017,21.2
2017,21.6
2018,13.1
2018,12.8
2018,15.1
2018,8.9
2018,9.8
2018,11.2
2018,18.0
2018,25.3
2018,12.2
2018,12.8
2018,13.3
2018,19.3
2018,15.9
2019,14.0
2019,13.1
2019,16.4
2019,8.4
2019,8.7
2019,15.7
2019,19.2
2019,23.4
2019,11.2
2019,13.0
2019,18.0
2019,21.3
2019,18.9
2020,12.0
2020,10.6
2020,14.0
2020,7.0
2020,8.6
2020,11.9
2020,15.8
2020,21.8
2020,8.0
2020,12.5
2020,18.0
2020,17.5
2020,16.3
2021,14.2
2021,12.2
2021,15.5
2021,10.2
2021,10.5
2021,14.2
2021,18.4
2021,23.6
2021,11.7
2021,11.4
2021,17.7
2021,23.2
2021,17.1
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
