Year,Value,Units,Series
2010,,Percent,Proporția posturilor de conducere ocupate de femei
2010,,Percent,Proporția femeilor în funcții de conducere de nivel superior și mediu
2011,,Percent,Proporția posturilor de conducere ocupate de femei
2011,,Percent,Proporția femeilor în funcții de conducere de nivel superior și mediu
2012,,Percent,Proporția posturilor de conducere ocupate de femei
2012,,Percent,Proporția femeilor în funcții de conducere de nivel superior și mediu
2013,,Percent,Proporția posturilor de conducere ocupate de femei
2013,,Percent,Proporția femeilor în funcții de conducere de nivel superior și mediu
2014,42.6,Percent,Proporția posturilor de conducere ocupate de femei
2014,43.7,Percent,Proporția femeilor în funcții de conducere de nivel superior și mediu
2015,48.5,Percent,Proporția posturilor de conducere ocupate de femei
2015,48.8,Percent,Proporția femeilor în funcții de conducere de nivel superior și mediu
2016,46.6,Percent,Proporția posturilor de conducere ocupate de femei
2016,46.3,Percent,Proporția femeilor în funcții de conducere de nivel superior și mediu
2017,41.5,Percent,Proporția posturilor de conducere ocupate de femei
2017,45.5,Percent,Proporția femeilor în funcții de conducere de nivel superior și mediu
2018,40.3,Percent,Proporția posturilor de conducere ocupate de femei
2018,43.1,Percent,Proporția femeilor în funcții de conducere de nivel superior și mediu
2019,45.7,Percent,Proporția posturilor de conducere ocupate de femei
2019,46.8,Percent,Proporția femeilor în funcții de conducere de nivel superior și mediu
2020,42.3,Percent,Proporția posturilor de conducere ocupate de femei
2020,45.2,Percent,Proporția femeilor în funcții de conducere de nivel superior și mediu
2021,44.6,Percent,Proporția posturilor de conducere ocupate de femei
2021,52.0,Percent,Proporția femeilor în funcții de conducere de nivel superior și mediu
2022,44.6,Percent,Proporția posturilor de conducere ocupate de femei
2022,47.3,Percent,Proporția femeilor în funcții de conducere de nivel superior și mediu
