Year,International organisations,Value
2010,UN General Assembly (UNGA),0.521
2010,International Finance Corporation (IFC),0.549
2010,International Bank for Reconstruction and Development (IBRD),0.535
2010,International Monetary Fund (IMF),0.549
2010,Economic and Social Council - the United Nations (ECOSOC),1.852
2010,World Trade Organization (WTO),0.654
2011,UN General Assembly (UNGA),0.518
2011,International Finance Corporation (IFC),
2011,International Bank for Reconstruction and Development (IBRD),
2011,International Monetary Fund (IMF),
2011,Economic and Social Council - the United Nations (ECOSOC),1.852
2011,World Trade Organization (WTO),
2012,UN General Assembly (UNGA),0.518
2012,International Finance Corporation (IFC),
2012,International Bank for Reconstruction and Development (IBRD),
2012,International Monetary Fund (IMF),
2012,Economic and Social Council - the United Nations (ECOSOC),1.852
2012,World Trade Organization (WTO),
2013,UN General Assembly (UNGA),0.518
2013,International Finance Corporation (IFC),
2013,International Bank for Reconstruction and Development (IBRD),
2013,International Monetary Fund (IMF),
2013,Economic and Social Council - the United Nations (ECOSOC),
2013,World Trade Organization (WTO),
2014,UN General Assembly (UNGA),0.518
2014,International Finance Corporation (IFC),
2014,International Bank for Reconstruction and Development (IBRD),
2014,International Monetary Fund (IMF),
2014,Economic and Social Council - the United Nations (ECOSOC),
2014,World Trade Organization (WTO),
2015,UN General Assembly (UNGA),0.518
2015,International Finance Corporation (IFC),0.074
2015,International Bank for Reconstruction and Development (IBRD),0.091
2015,International Monetary Fund (IMF),0.078
2015,Economic and Social Council - the United Nations (ECOSOC),
2015,World Trade Organization (WTO),0.625
2016,UN General Assembly (UNGA),0.518
2016,International Finance Corporation (IFC),0.074
2016,International Bank for Reconstruction and Development (IBRD),0.1
2016,International Monetary Fund (IMF),0.064
2016,Economic and Social Council - the United Nations (ECOSOC),1.852
2016,World Trade Organization (WTO),0.617
2017,UN General Assembly (UNGA),0.518
2017,International Finance Corporation (IFC),0.074
2017,International Bank for Reconstruction and Development (IBRD),0.096
2017,International Monetary Fund (IMF),0.063
2017,Economic and Social Council - the United Nations (ECOSOC),1.852
2017,World Trade Organization (WTO),0.61
2018,UN General Assembly (UNGA),0.518
2018,International Finance Corporation (IFC),0.074
2018,International Bank for Reconstruction and Development (IBRD),0.112
2018,International Monetary Fund (IMF),0.063
2018,Economic and Social Council - the United Nations (ECOSOC),1.852
2018,World Trade Organization (WTO),0.61
2019,UN General Assembly (UNGA),0.518
2019,International Finance Corporation (IFC),0.073
2019,International Bank for Reconstruction and Development (IBRD),0.11
2019,International Monetary Fund (IMF),0.063
2019,Economic and Social Council - the United Nations (ECOSOC),
2019,World Trade Organization (WTO),0.61
2020,UN General Assembly (UNGA),0.518
2020,International Finance Corporation (IFC),0.074
2020,International Bank for Reconstruction and Development (IBRD),0.108
2020,International Monetary Fund (IMF),0.063
2020,Economic and Social Council - the United Nations (ECOSOC),
2020,World Trade Organization (WTO),0.61
2021,UN General Assembly (UNGA),0.518
2021,International Finance Corporation (IFC),0.071
2021,International Bank for Reconstruction and Development (IBRD),0.105
2021,International Monetary Fund (IMF),0.063
2021,Economic and Social Council - the United Nations (ECOSOC),
2021,World Trade Organization (WTO),0.61
2022,UN General Assembly (UNGA),0.518
2022,International Finance Corporation (IFC),0.069
2022,International Bank for Reconstruction and Development (IBRD),0.103
2022,International Monetary Fund (IMF),0.064
2022,Economic and Social Council - the United Nations (ECOSOC),
2022,World Trade Organization (WTO),0.61
2023,UN General Assembly (UNGA),0.518
2023,International Finance Corporation (IFC),0.068
2023,International Bank for Reconstruction and Development (IBRD),0.1
2023,International Monetary Fund (IMF),0.064
2023,Economic and Social Council - the United Nations (ECOSOC),
2023,World Trade Organization (WTO),0.61
