Year,Index,Value
2010,,
2010,Index (rank),
2010,,
2011,,
2011,Index (rank),
2011,,
2012,,
2012,Index (rank),
2012,,
2013,,74.0
2013,Index (rank),55.0
2013,,
2014,,74.7
2014,Index (rank),56.0
2014,,
2015,,72.2
2015,Index (rank),72.0
2015,,
2016,,71.2
2016,Index (rank),76.0
2016,,
2017,,69.6
2017,Index (rank),80.0
2017,,
2018,,70.0
2018,Index (rank),81.0
2018,,
2019,,68.8
2019,Index (rank),91.0
2019,,
2020,,68.8
2020,Index (rank),91.0
2020,,
2021,,68.4
2021,Index (rank),89.0
2021,,
2022,,73.5
2022,Index (rank),40.0
2022,,
2023,,77.6
2023,Index (rank),28.0
2023,,
