Year,Sex,Groups of persons,Countries of destination,Forms of exploitation,Value
2010.0,,,,,
2010.0,Men,,,,
2010.0,Women,,,,
2010.0,,Adults,,,
2010.0,,Children,,,
2010.0,,,Republic of Moldova,,
2010.0,,,Russian Federation,,
2010.0,,,Germany,,
2010.0,,,Poland,,
2010.0,,,Turkey,,
2010.0,,,Italy,,
2010.0,,,Portugal,,
2010.0,,,Spain,,
2010.0,,,Cyprus,,
2010.0,,,Romania,,
2010.0,,,Greece,,
2010.0,,,Czech,,
2010.0,,,Other,,
2010.0,,,,Sexual,
2010.0,,,,Work,
2010.0,,,,Begging,
2010.0,,,,Mixt,
2010.0,,,,Surrogate,
2010.0,,,,Engaging in criminal activities,
2010.0,,,,"Sampling of human organs, tissues or cells",
2010.0,,,,Urban ,
2010.0,,,,Rural ,
2010.0,,,,Locuitor al altui stat,
2010.0,,,,Persoană fără loc de trai permanent,
2010.0,,,,Superioare,
2010.0,,,,Superioare incomplete,
2010.0,,,,Medii speciale,
2010.0,,,,Medii ,
2010.0,,,,Medii incomplete,
2010.0,,,,Primare,
2010.0,,,,Alte,
2010.0,,,,Analfabet,
2011.0,,,,,
2011.0,Men,,,,
2011.0,Women,,,,
2011.0,,Adults,,,
2011.0,,Children,,,
2011.0,,,Republic of Moldova,,
2011.0,,,Russian Federation,,
2011.0,,,Germany,,
2011.0,,,Poland,,
2011.0,,,Turkey,,
2011.0,,,Italy,,
2011.0,,,Portugal,,
2011.0,,,Spain,,
2011.0,,,Cyprus,,
2011.0,,,Romania,,
2011.0,,,Greece,,
2011.0,,,Czech,,
2011.0,,,Other,,
2011.0,,,,Sexual,
2011.0,,,,Work,
2011.0,,,,Begging,
2011.0,,,,Mixt,
2011.0,,,,Surrogate,
2011.0,,,,Engaging in criminal activities,
2011.0,,,,"Sampling of human organs, tissues or cells",
2011.0,,,,Urban ,
2011.0,,,,Rural ,
2011.0,,,,Locuitor al altui stat,
2011.0,,,,Persoană fără loc de trai permanent,
2011.0,,,,Superioare,
2011.0,,,,Superioare incomplete,
2011.0,,,,Medii speciale,
2011.0,,,,Medii ,
2011.0,,,,Medii incomplete,
2011.0,,,,Primare,
2011.0,,,,Alte,
2011.0,,,,Analfabet,
2012.0,,,,,
2012.0,Men,,,,
2012.0,Women,,,,
2012.0,,Adults,,,
2012.0,,Children,,,
2012.0,,,Republic of Moldova,,
2012.0,,,Russian Federation,,
2012.0,,,Germany,,
2012.0,,,Poland,,
2012.0,,,Turkey,,
2012.0,,,Italy,,
2012.0,,,Portugal,,
2012.0,,,Spain,,
2012.0,,,Cyprus,,
2012.0,,,Romania,,
2012.0,,,Greece,,
2012.0,,,Czech,,
2012.0,,,Other,,
2012.0,,,,Sexual,
2012.0,,,,Work,
2012.0,,,,Begging,
2012.0,,,,Mixt,
2012.0,,,,Surrogate,
2012.0,,,,Engaging in criminal activities,
2012.0,,,,"Sampling of human organs, tissues or cells",
2012.0,,,,Urban ,
2012.0,,,,Rural ,
2012.0,,,,Locuitor al altui stat,
2012.0,,,,Persoană fără loc de trai permanent,
2012.0,,,,Superioare,
2012.0,,,,Superioare incomplete,
2012.0,,,,Medii speciale,
2012.0,,,,Medii ,
2012.0,,,,Medii incomplete,
2012.0,,,,Primare,
2012.0,,,,Alte,
2012.0,,,,Analfabet,
2013.0,,,,,
2013.0,Men,,,,
2013.0,Women,,,,
2013.0,,Adults,,,
2013.0,,Children,,,
2013.0,,,Republic of Moldova,,
2013.0,,,Russian Federation,,
2013.0,,,Germany,,
2013.0,,,Poland,,
2013.0,,,Turkey,,
2013.0,,,Italy,,
2013.0,,,Portugal,,
2013.0,,,Spain,,
2013.0,,,Cyprus,,
2013.0,,,Romania,,
2013.0,,,Greece,,
2013.0,,,Czech,,
2013.0,,,Other,,
2013.0,,,,Sexual,
2013.0,,,,Work,
2013.0,,,,Begging,
2013.0,,,,Mixt,
2013.0,,,,Surrogate,
2013.0,,,,Engaging in criminal activities,
2013.0,,,,"Sampling of human organs, tissues or cells",
2013.0,,,,Urban ,
2013.0,,,,Rural ,
2013.0,,,,Locuitor al altui stat,
2013.0,,,,Persoană fără loc de trai permanent,
2013.0,,,,Superioare,
2013.0,,,,Superioare incomplete,
2013.0,,,,Medii speciale,
2013.0,,,,Medii ,
2013.0,,,,Medii incomplete,
2013.0,,,,Primare,
2013.0,,,,Alte,
2013.0,,,,Analfabet,
2014.0,,,,,9.3
2014.0,Men,,,,6.3
2014.0,Women,,,,12.0
2014.0,,Adults,,,10.7
2014.0,,Children,,,4.2
2014.0,,,Republic of Moldova,,1.2
2014.0,,,Russian Federation,,4.6
2014.0,,,Germany,,0.2
2014.0,,,Poland,,0.0
2014.0,,,Turkey,,0.7
2014.0,,,Italy,,0.4
2014.0,,,Portugal,,0.0
2014.0,,,Spain,,0.0
2014.0,,,Cyprus,,0.0
2014.0,,,Romania,,0.1
2014.0,,,Greece,,0.3
2014.0,,,Czech,,0.1
2014.0,,,Other,,1.8
2014.0,,,,Sexual,4.1
2014.0,,,,Work,3.1
2014.0,,,,Begging,1.9
2014.0,,,,Mixt,0.0
2014.0,,,,Surrogate,0.0
2014.0,,,,Engaging in criminal activities,0.2
2014.0,,,,"Sampling of human organs, tissues or cells",0.0
2014.0,,,,Urban ,
2014.0,,,,Rural ,
2014.0,,,,Locuitor al altui stat,
2014.0,,,,Persoană fără loc de trai permanent,
2014.0,,,,Superioare,
2014.0,,,,Superioare incomplete,
2014.0,,,,Medii speciale,
2014.0,,,,Medii ,
2014.0,,,,Medii incomplete,
2014.0,,,,Primare,
2014.0,,,,Alte,
2014.0,,,,Analfabet,
2015.0,,,,,11.0
2015.0,Men,,,,7.4
2015.0,Women,,,,14.3
2015.0,,Adults,,,10.9
2015.0,,Children,,,11.2
2015.0,,,Republic of Moldova,,3.4
2015.0,,,Russian Federation,,4.3
2015.0,,,Germany,,0.3
2015.0,,,Poland,,0.1
2015.0,,,Turkey,,0.6
2015.0,,,Italy,,0.4
2015.0,,,Portugal,,0.0
2015.0,,,Spain,,0.1
2015.0,,,Cyprus,,0.0
2015.0,,,Romania,,0.1
2015.0,,,Greece,,0.2
2015.0,,,Czech,,0.0
2015.0,,,Other,,1.5
2015.0,,,,Sexual,4.9
2015.0,,,,Work,4.8
2015.0,,,,Begging,1.0
2015.0,,,,Mixt,0.0
2015.0,,,,Surrogate,0.0
2015.0,,,,Engaging in criminal activities,0.1
2015.0,,,,"Sampling of human organs, tissues or cells",0.2
2015.0,,,,Urban ,
2015.0,,,,Rural ,
2015.0,,,,Locuitor al altui stat,
2015.0,,,,Persoană fără loc de trai permanent,
2015.0,,,,Superioare,
2015.0,,,,Superioare incomplete,
2015.0,,,,Medii speciale,
2015.0,,,,Medii ,
2015.0,,,,Medii incomplete,
2015.0,,,,Primare,
2015.0,,,,Alte,
2015.0,,,,Analfabet,
2016.0,,,,,8.3
2016.0,Men,,,,7.9
2016.0,Women,,,,8.7
2016.0,,Adults,,,9.0
2016.0,,Children,,,5.8
2016.0,,,Republic of Moldova,,1.5
2016.0,,,Russian Federation,,2.8
2016.0,,,Germany,,0.4
2016.0,,,Poland,,0.1
2016.0,,,Turkey,,0.5
2016.0,,,Italy,,0.2
2016.0,,,Portugal,,0.0
2016.0,,,Spain,,0.2
2016.0,,,Cyprus,,0.1
2016.0,,,Romania,,0.3
2016.0,,,Greece,,0.0
2016.0,,,Czech,,0.3
2016.0,,,Other,,2.2
2016.0,,,,Sexual,3.3
2016.0,,,,Work,3.0
2016.0,,,,Begging,0.9
2016.0,,,,Mixt,0.4
2016.0,,,,Surrogate,0.0
2016.0,,,,Engaging in criminal activities,0.7
2016.0,,,,"Sampling of human organs, tissues or cells",0.0
2016.0,,,,Urban ,
2016.0,,,,Rural ,
2016.0,,,,Locuitor al altui stat,
2016.0,,,,Persoană fără loc de trai permanent,
2016.0,,,,Superioare,
2016.0,,,,Superioare incomplete,
2016.0,,,,Medii speciale,
2016.0,,,,Medii ,
2016.0,,,,Medii incomplete,
2016.0,,,,Primare,
2016.0,,,,Alte,
2016.0,,,,Analfabet,
2017.0,,,,,9.1
2017.0,Men,,,,9.2
2017.0,Women,,,,9.1
2017.0,,Adults,,,9.4
2017.0,,Children,,,8.0
2017.0,,,Republic of Moldova,,2.1
2017.0,,,Russian Federation,,3.7
2017.0,,,Germany,,0.3
2017.0,,,Poland,,0.1
2017.0,,,Turkey,,0.5
2017.0,,,Italy,,0.7
2017.0,,,Portugal,,0.1
2017.0,,,Spain,,0.0
2017.0,,,Cyprus,,0.2
2017.0,,,Romania,,0.0
2017.0,,,Greece,,0.2
2017.0,,,Czech,,0.3
2017.0,,,Other,,1.1
2017.0,,,,Sexual,2.2
2017.0,,,,Work,4.4
2017.0,,,,Begging,0.5
2017.0,,,,Mixt,0.0
2017.0,,,,Surrogate,0.0
2017.0,,,,Engaging in criminal activities,0.0
2017.0,,,,"Sampling of human organs, tissues or cells",0.2
2017.0,,,,Urban ,
2017.0,,,,Rural ,
2017.0,,,,Locuitor al altui stat,
2017.0,,,,Persoană fără loc de trai permanent,
2017.0,,,,Superioare,
2017.0,,,,Superioare incomplete,
2017.0,,,,Medii speciale,
2017.0,,,,Medii ,
2017.0,,,,Medii incomplete,
2017.0,,,,Primare,
2017.0,,,,Alte,
2017.0,,,,Analfabet,
2018.0,,,,,13.6
2018.0,Men,,,,15.9
2018.0,Women,,,,11.5
2018.0,,Adults,,,14.5
2018.0,,Children,,,10.3
2018.0,,,Republic of Moldova,,3.8
2018.0,,,Russian Federation,,2.0
2018.0,,,Germany,,1.3
2018.0,,,Poland,,0.5
2018.0,,,Turkey,,0.7
2018.0,,,Italy,,0.2
2018.0,,,Portugal,,0.6
2018.0,,,Spain,,0.6
2018.0,,,Cyprus,,0.1
2018.0,,,Romania,,0.9
2018.0,,,Greece,,0.1
2018.0,,,Czech,,1.1
2018.0,,,Other,,1.2
2018.0,,,,Sexual,3.5
2018.0,,,,Work,8.9
2018.0,,,,Begging,0.4
2018.0,,,,Mixt,0.0
2018.0,,,,Surrogate,0.0
2018.0,,,,Engaging in criminal activities,0.0
2018.0,,,,"Sampling of human organs, tissues or cells",0.0
2018.0,,,,Urban ,
2018.0,,,,Rural ,
2018.0,,,,Locuitor al altui stat,
2018.0,,,,Persoană fără loc de trai permanent,
2018.0,,,,Superioare,
2018.0,,,,Superioare incomplete,
2018.0,,,,Medii speciale,
2018.0,,,,Medii ,
2018.0,,,,Medii incomplete,
2018.0,,,,Primare,
2018.0,,,,Alte,
2018.0,,,,Analfabet,
2019.0,,,,,12.9
2019.0,Men,,,,11.6
2019.0,Women,,,,14.1
2019.0,,Adults,,,11.2
2019.0,,Children,,,19.1
2019.0,,,Republic of Moldova,,4.7
2019.0,,,Russian Federation,,0.8
2019.0,,,Germany,,0.8
2019.0,,,Poland,,0.6
2019.0,,,Turkey,,0.3
2019.0,,,Italy,,0.4
2019.0,,,Portugal,,0.3
2019.0,,,Spain,,0.0
2019.0,,,Cyprus,,0.0
2019.0,,,Romania,,0.4
2019.0,,,Greece,,3.3
2019.0,,,Czech,,0.0
2019.0,,,Other,,1.2
2019.0,,,,Sexual,3.2
2019.0,,,,Work,8.5
2019.0,,,,Begging,0.7
2019.0,,,,Mixt,0.4
2019.0,,,,Surrogate,0.0
2019.0,,,,Engaging in criminal activities,0.0
2019.0,,,,"Sampling of human organs, tissues or cells",0.1
2019.0,,,,Urban ,
2019.0,,,,Rural ,
2019.0,,,,Locuitor al altui stat,
2019.0,,,,Persoană fără loc de trai permanent,
2019.0,,,,Superioare,
2019.0,,,,Superioare incomplete,
2019.0,,,,Medii speciale,
2019.0,,,,Medii ,
2019.0,,,,Medii incomplete,
2019.0,,,,Primare,
2019.0,,,,Alte,
2019.0,,,,Analfabet,
2020.0,,,,,5.3
2020.0,Men,,,,6.9
2020.0,Women,,,,3.8
2020.0,,Adults,,,5.6
2020.0,,Children,,,4.1
2020.0,,,Republic of Moldova,,1.4
2020.0,,,Russian Federation,,0.6
2020.0,,,Germany,,0.0
2020.0,,,Poland,,0.0
2020.0,,,Turkey,,0.4
2020.0,,,Italy,,0.1
2020.0,,,Portugal,,0.3
2020.0,,,Spain,,0.0
2020.0,,,Cyprus,,0.0
2020.0,,,Romania,,0.2
2020.0,,,Greece,,0.1
2020.0,,,Czech,,0.0
2020.0,,,Other,,2.1
2020.0,,,,Sexual,1.7
2020.0,,,,Work,3.4
2020.0,,,,Begging,0.2
2020.0,,,,Mixt,0.0
2020.0,,,,Surrogate,0.0
2020.0,,,,Engaging in criminal activities,0.0
2020.0,,,,"Sampling of human organs, tissues or cells",0.0
2020.0,,,,Urban ,
2020.0,,,,Rural ,
2020.0,,,,Locuitor al altui stat,
2020.0,,,,Persoană fără loc de trai permanent,
2020.0,,,,Superioare,
2020.0,,,,Superioare incomplete,
2020.0,,,,Medii speciale,
2020.0,,,,Medii ,
2020.0,,,,Medii incomplete,
2020.0,,,,Primare,
2020.0,,,,Alte,
2020.0,,,,Analfabet,
2021.0,,,,,13.9
2021.0,Men,,,,16.9
2021.0,Women,,,,11.2
2021.0,,Adults,,,16.7
2021.0,,Children,,,4.0
2021.0,,,Republic of Moldova,,1.6
2021.0,,,Russian Federation,,0.5
2021.0,,,Germany,,1.6
2021.0,,,Poland,,0.0
2021.0,,,Turkey,,0.1
2021.0,,,Italy,,2.5
2021.0,,,Portugal,,0.2
2021.0,,,Spain,,0.0
2021.0,,,Cyprus,,0.0
2021.0,,,Romania,,0.1
2021.0,,,Greece,,0.5
2021.0,,,Czech,,0.0
2021.0,,,Other,,6.9
2021.0,,,,Sexual,1.4
2021.0,,,,Work,10.6
2021.0,,,,Begging,0.2
2021.0,,,,Mixt,0.0
2021.0,,,,Surrogate,0.0
2021.0,,,,Engaging in criminal activities,0.0
2021.0,,,,"Sampling of human organs, tissues or cells",0.0
2021.0,,,,Urban ,
2021.0,,,,Rural ,
2021.0,,,,Locuitor al altui stat,
2021.0,,,,Persoană fără loc de trai permanent,
2021.0,,,,Superioare,
2021.0,,,,Superioare incomplete,
2021.0,,,,Medii speciale,
2021.0,,,,Medii ,
2021.0,,,,Medii incomplete,
2021.0,,,,Primare,
2021.0,,,,Alte,
2021.0,,,,Analfabet,
2022.0,,,,,6.1
2022.0,Men,,,,6.5
2022.0,Women,,,,5.7
2022.0,,Adults,,,5.5
2022.0,,Children,,,8.3
2022.0,,,Republic of Moldova,,2.6
2022.0,,,Russian Federation,,0.4
2022.0,,,Germany,,1.4
2022.0,,,Poland,,0.3
2022.0,,,Turkey,,0.0
2022.0,,,Italy,,0.4
2022.0,,,Portugal,,0.2
2022.0,,,Spain,,0.0
2022.0,,,Cyprus,,0.0
2022.0,,,Romania,,0.0
2022.0,,,Greece,,0.1
2022.0,,,Czech,,0.0
2022.0,,,Other,,0.7
2022.0,,,,Sexual,2.1
2022.0,,,,Work,3.4
2022.0,,,,Begging,0.1
2022.0,,,,Mixt,0.0
2022.0,,,,Surrogate,0.0
2022.0,,,,Engaging in criminal activities,0.0
2022.0,,,,"Sampling of human organs, tissues or cells",0.0
2022.0,,,,Urban ,
2022.0,,,,Rural ,
2022.0,,,,Locuitor al altui stat,
2022.0,,,,Persoană fără loc de trai permanent,
2022.0,,,,Superioare,
2022.0,,,,Superioare incomplete,
2022.0,,,,Medii speciale,
2022.0,,,,Medii ,
2022.0,,,,Medii incomplete,
2022.0,,,,Primare,
2022.0,,,,Alte,
2022.0,,,,Analfabet,
2023.0,,,,,7.0
2023.0,Men,,,,11.9
2023.0,Women,,,,2.7
2023.0,,Adults,,,7.5
2023.0,,Children,,,4.9
2023.0,,,Republic of Moldova,,3.7
2023.0,,,Russian Federation,,0.6
2023.0,,,Germany,,0.0
2023.0,,,Poland,,0.0
2023.0,,,Turkey,,0.1
2023.0,,,Italy,,0.0
2023.0,,,Portugal,,0.0
2023.0,,,Spain,,0.0
2023.0,,,Cyprus,,0.0
2023.0,,,Romania,,0.1
2023.0,,,Greece,,0.1
2023.0,,,Czech,,0.0
2023.0,,,Other,,2.2
2023.0,,,,Sexual,0.9
2023.0,,,,Work,3.8
2023.0,,,,Begging,0.1
2023.0,,,,Mixt,0.0
2023.0,,,,Surrogate,0.0
2023.0,,,,Engaging in criminal activities,2.1
2023.0,,,,"Sampling of human organs, tissues or cells",0.0
2023.0,,,,Urban ,
2023.0,,,,Rural ,
2023.0,,,,Locuitor al altui stat,
2023.0,,,,Persoană fără loc de trai permanent,
2023.0,,,,Superioare,
2023.0,,,,Superioare incomplete,
2023.0,,,,Medii speciale,
2023.0,,,,Medii ,
2023.0,,,,Medii incomplete,
2023.0,,,,Primare,
2023.0,,,,Alte,
2023.0,,,,Analfabet,
2024.0,,,,,5.0
2024.0,Men,,,,6.5
2024.0,Women,,,,3.7
2024.0,,Adults,,,4.7
2024.0,,Children,,,6.1
2024.0,,,Republic of Moldova,,2.9
2024.0,,,Russian Federation,,0.1
2024.0,,,Germany,,0.2
2024.0,,,Poland,,0.2
2024.0,,,Turkey,,0.0
2024.0,,,Italy,,0.0
2024.0,,,Portugal,,0.0
2024.0,,,Spain,,0.0
2024.0,,,Cyprus,,0.0
2024.0,,,Romania,,0.1
2024.0,,,Greece,,0.0
