Year,Area of residence,Sex,Age group,Socioeconomic status,Value
2010,,,,,25.1
2010,Urban,,,,
2010,Rural,,,,
2010,,Men,,,
2010,,Women,,,
2010,,,15-24,,
2010,,,25-34,,
2010,,,35-44,,
2010,,,45-54,,
2010,,,55+,,
2010,,,,Low,
2010,,,,Medium,
2010,,,,High,
2011,,,,,18.0
2011,Urban,,,,
2011,Rural,,,,
2011,,Men,,,
2011,,Women,,,
2011,,,15-24,,
2011,,,25-34,,
2011,,,35-44,,
2011,,,45-54,,
2011,,,55+,,
2011,,,,Low,
2011,,,,Medium,
2011,,,,High,
2012,,,,,14.9
2012,Urban,,,,
2012,Rural,,,,
2012,,Men,,,
2012,,Women,,,
2012,,,15-24,,
2012,,,25-34,,
2012,,,35-44,,
2012,,,45-54,,
2012,,,55+,,
2012,,,,Low,
2012,,,,Medium,
2012,,,,High,
2013,,,,,15.5
2013,Urban,,,,
2013,Rural,,,,
2013,,Men,,,
2013,,Women,,,
2013,,,15-24,,
2013,,,25-34,,
2013,,,35-44,,
2013,,,45-54,,
2013,,,55+,,
2013,,,,Low,
2013,,,,Medium,
2013,,,,High,
2014,,,,,22.2
2014,Urban,,,,
2014,Rural,,,,
2014,,Men,,,
2014,,Women,,,
2014,,,15-24,,
2014,,,25-34,,
2014,,,35-44,,
2014,,,45-54,,
2014,,,55+,,
2014,,,,Low,
2014,,,,Medium,
2014,,,,High,
2015,,,,,11.9
2015,Urban,,,,
2015,Rural,,,,
2015,,Men,,,
2015,,Women,,,
2015,,,15-24,,
2015,,,25-34,,
2015,,,35-44,,
2015,,,45-54,,
2015,,,55+,,
2015,,,,Low,
2015,,,,Medium,
2015,,,,High,
2016,,,,,7.8
2016,Urban,,,,
2016,Rural,,,,
2016,,Men,,,
2016,,Women,,,
2016,,,15-24,,
2016,,,25-34,,
2016,,,35-44,,
2016,,,45-54,,
2016,,,55+,,
2016,,,,Low,
2016,,,,Medium,
2016,,,,High,
2017,,,,,13.6
2017,Urban,,,,
2017,Rural,,,,
2017,,Men,,,
2017,,Women,,,
2017,,,15-24,,
2017,,,25-34,,
2017,,,35-44,,
2017,,,45-54,,
2017,,,55+,,
2017,,,,Low,
2017,,,,Medium,
2017,,,,High,
2018,,,,,15.6
2018,Urban,,,,
2018,Rural,,,,
2018,,Men,,,
2018,,Women,,,
2018,,,15-24,,
2018,,,25-34,,
2018,,,35-44,,
2018,,,45-54,,
2018,,,55+,,
2018,,,,Low,
2018,,,,Medium,
2018,,,,High,
2019,,,,,26.1
2019,Urban,,,,
2019,Rural,,,,
2019,,Men,,,
2019,,Women,,,
2019,,,15-24,,
2019,,,25-34,,
2019,,,35-44,,
2019,,,45-54,,
2019,,,55+,,
2019,,,,Low,
2019,,,,Medium,
2019,,,,High,
2020,,,,,19.0
2020,Urban,,,,
2020,Rural,,,,
2020,,Men,,,
2020,,Women,,,
2020,,,15-24,,
2020,,,25-34,,
2020,,,35-44,,
2020,,,45-54,,
2020,,,55+,,
2020,,,,Low,
2020,,,,Medium,
2020,,,,High,
2021,,,,,18.5
2021,Urban,,,,52.28
2021,Rural,,,,47.72
2021,,Men,,,49.6
2021,,Women,,,50.54
2021,,,15-24,,
2021,,,25-34,,28.4
2021,,,35-44,,20.3
2021,,,45-54,,12.9
2021,,,55+,,15.8
2021,,,,Low,25.93
2021,,,,Medium,35.93
2021,,,,High,38.14
2022,,,,,17.7
2022,Urban,,,,57.54
2022,Rural,,,,42.46
2022,,Men,,,47.74
2022,,Women,,,52.26
2022,,,15-24,,
2022,,,25-34,,21.3
2022,,,35-44,,20.6
2022,,,45-54,,15.5
2022,,,55+,,14.6
2022,,,,Low,26.12
2022,,,,Medium,30.78
2022,,,,High,43.1
2023,,,,,22.5
2023,Urban,,,,55.16
2023,Rural,,,,44.84
2023,,Men,,,55.19
2023,,Women,,,44.81
2023,,,15-24,,
2023,,,25-34,,28.3
2023,,,35-44,,23.4
2023,,,45-54,,20.6
2023,,,55+,,19.6
2023,,,,Low,27.78
2023,,,,Medium,34.23
2023,,,,High,37.99
2024,,,,,22.0
2024,Urban,,,,54.66
2024,Rural,,,,44.34
2024,,Men,,,54.69
2024,,Women,,,44.31
2024,,,15-24,,
2024,,,25-34,,27.8
2024,,,35-44,,22.9
2024,,,45-54,,20.1
2024,,,55+,,19.1
2024,,,,Low,27.28
2024,,,,Medium,33.73
2024,,,,High,37.49
2025,,,,,28.0
2025,Urban,,,,47.0
2025,Rural,,,,52.0
2025,,Men,,,45.0
2025,,Women,,,55.0
2025,,,15-24,,
2025,,,25-34,,14.0
2025,,,35-44,,28.0
2025,,,45-54,,26.0
2025,,,55+,,32.0
2025,,,,Low,33.0
2025,,,,Medium,33.0
2025,,,,High,33.0
