Year,Sex,Age group,Value
2010,,,
2010,Men,,
2010,Women,,
2010,,18-44 years old,
2011,,,
2011,Men,,
2011,Women,,
2011,,18-44 years old,
2012,,,
2012,Men,,
2012,Women,,
2012,,18-44 years old,
2013,,,
2013,Men,,
2013,Women,,
2013,,18-44 years old,
2014,,,
2014,Men,,1.7
2014,Women,,0.4
2014,,18-44 years old,0.7
2015,,,
2015,Men,,1.7
2015,Women,,0.4
2015,,18-44 years old,0.7
2016,,,
2016,Men,,1.6
2016,Women,,0.4
2016,,18-44 years old,0.7
2017,,,
2017,Men,,1.7
2017,Women,,0.4
2017,,18-44 years old,0.7
2018,,,
2018,Men,,1.7
2018,Women,,0.4
2018,,18-44 years old,0.5
2019,,,
2019,Men,,1.6
2019,Women,,0.5
2019,,18-44 years old,0.9
2020,,,
2020,Men,,1.6
2020,Women,,0.5
2020,,18-44 years old,0.8
2021,,,
2021,Men,,1.3
2021,Women,,0.8
2021,,18-44 years old,0.9
2022,,,
2022,Men,,1.3
2022,Women,,0.7
2022,,18-44 years old,1.0
