Year,Proportion of female judges to Proportion of women in the working-age population,Proportion of female registrars to Proportion of women in the working-age population,Proportion of young judges aged 44 and below to Proportion of the working-age population aged above the eligibility age and below 45,Proportion of young registrars aged 44 and below to Proportion of the working-age population aged above the eligibility age and below 45,Proportion of judges with a disability to Proportion of persons with a disability in the working-age population,Proportion of registrars with a disability to Proportion of persons with a disability in the working-age population,Value
2010,,,,,,,
2010,Constitutional/ supreme courts,,,,,,
2010,Higher-level courts,,,,,,
2010,Lower-level courts,,,,,,
2010,Total (across all levels of courts),,,,,,
2010,,Constitutional/ supreme courts,,,,,
2010,,Higher-level courts,,,,,
2010,,Lower-level courts,,,,,
2010,,Total (across all levels of courts),,,,,
2010,,,Constitutional/ supreme courts,,,,
2010,,,Higher-level courts,,,,
2010,,,Lower-level courts,,,,
2010,,,Total (across all levels of courts),,,,
2010,,,,Constitutional/ supreme courts,,,
2010,,,,Higher-level courts,,,
2010,,,,Lower-level courts,,,
2010,,,,Total (across all levels of courts),,,
2010,,,,,Constitutional/ supreme courts,,
2010,,,,,Higher-level courts,,
2010,,,,,Lower-level courts,,
2010,,,,,Total (across all levels of courts),,
2010,,,,,,Constitutional/ supreme courts,
2010,,,,,,Higher-level courts,
2010,,,,,,Lower-level courts,
2010,,,,,,Total (across all levels of courts),
2011,,,,,,,
2011,Constitutional/ supreme courts,,,,,,
2011,Higher-level courts,,,,,,
2011,Lower-level courts,,,,,,
2011,Total (across all levels of courts),,,,,,
2011,,Constitutional/ supreme courts,,,,,
2011,,Higher-level courts,,,,,
2011,,Lower-level courts,,,,,
2011,,Total (across all levels of courts),,,,,
2011,,,Constitutional/ supreme courts,,,,
2011,,,Higher-level courts,,,,
2011,,,Lower-level courts,,,,
2011,,,Total (across all levels of courts),,,,
2011,,,,Constitutional/ supreme courts,,,
2011,,,,Higher-level courts,,,
2011,,,,Lower-level courts,,,
2011,,,,Total (across all levels of courts),,,
2011,,,,,Constitutional/ supreme courts,,
2011,,,,,Higher-level courts,,
2011,,,,,Lower-level courts,,
2011,,,,,Total (across all levels of courts),,
2011,,,,,,Constitutional/ supreme courts,
2011,,,,,,Higher-level courts,
2011,,,,,,Lower-level courts,
2011,,,,,,Total (across all levels of courts),
2012,,,,,,,
2012,Constitutional/ supreme courts,,,,,,
2012,Higher-level courts,,,,,,
2012,Lower-level courts,,,,,,
2012,Total (across all levels of courts),,,,,,
2012,,Constitutional/ supreme courts,,,,,
2012,,Higher-level courts,,,,,
2012,,Lower-level courts,,,,,
2012,,Total (across all levels of courts),,,,,
2012,,,Constitutional/ supreme courts,,,,
2012,,,Higher-level courts,,,,
2012,,,Lower-level courts,,,,
2012,,,Total (across all levels of courts),,,,
2012,,,,Constitutional/ supreme courts,,,
2012,,,,Higher-level courts,,,
2012,,,,Lower-level courts,,,
2012,,,,Total (across all levels of courts),,,
2012,,,,,Constitutional/ supreme courts,,
2012,,,,,Higher-level courts,,
2012,,,,,Lower-level courts,,
2012,,,,,Total (across all levels of courts),,
2012,,,,,,Constitutional/ supreme courts,
2012,,,,,,Higher-level courts,
2012,,,,,,Lower-level courts,
2012,,,,,,Total (across all levels of courts),
2013,,,,,,,
2013,Constitutional/ supreme courts,,,,,,
2013,Higher-level courts,,,,,,
2013,Lower-level courts,,,,,,
2013,Total (across all levels of courts),,,,,,
2013,,Constitutional/ supreme courts,,,,,
2013,,Higher-level courts,,,,,
2013,,Lower-level courts,,,,,
2013,,Total (across all levels of courts),,,,,
2013,,,Constitutional/ supreme courts,,,,
2013,,,Higher-level courts,,,,
2013,,,Lower-level courts,,,,
2013,,,Total (across all levels of courts),,,,
2013,,,,Constitutional/ supreme courts,,,
2013,,,,Higher-level courts,,,
2013,,,,Lower-level courts,,,
2013,,,,Total (across all levels of courts),,,
2013,,,,,Constitutional/ supreme courts,,
2013,,,,,Higher-level courts,,
2013,,,,,Lower-level courts,,
2013,,,,,Total (across all levels of courts),,
2013,,,,,,Constitutional/ supreme courts,
2013,,,,,,Higher-level courts,
2013,,,,,,Lower-level courts,
2013,,,,,,Total (across all levels of courts),
2014,,,,,,,
2014,Constitutional/ supreme courts,,,,,,
2014,Higher-level courts,,,,,,
2014,Lower-level courts,,,,,,
2014,Total (across all levels of courts),,,,,,
2014,,Constitutional/ supreme courts,,,,,
2014,,Higher-level courts,,,,,
2014,,Lower-level courts,,,,,
2014,,Total (across all levels of courts),,,,,
2014,,,Constitutional/ supreme courts,,,,
2014,,,Higher-level courts,,,,
2014,,,Lower-level courts,,,,
2014,,,Total (across all levels of courts),,,,
2014,,,,Constitutional/ supreme courts,,,
2014,,,,Higher-level courts,,,
2014,,,,Lower-level courts,,,
2014,,,,Total (across all levels of courts),,,
2014,,,,,Constitutional/ supreme courts,,
2014,,,,,Higher-level courts,,
2014,,,,,Lower-level courts,,
2014,,,,,Total (across all levels of courts),,
2014,,,,,,Constitutional/ supreme courts,
2014,,,,,,Higher-level courts,
2014,,,,,,Lower-level courts,
2014,,,,,,Total (across all levels of courts),
2015,,,,,,,
2015,Constitutional/ supreme courts,,,,,,
2015,Higher-level courts,,,,,,
2015,Lower-level courts,,,,,,
2015,Total (across all levels of courts),,,,,,
2015,,Constitutional/ supreme courts,,,,,
2015,,Higher-level courts,,,,,
2015,,Lower-level courts,,,,,
2015,,Total (across all levels of courts),,,,,
2015,,,Constitutional/ supreme courts,,,,
2015,,,Higher-level courts,,,,
2015,,,Lower-level courts,,,,
2015,,,Total (across all levels of courts),,,,
2015,,,,Constitutional/ supreme courts,,,
2015,,,,Higher-level courts,,,
2015,,,,Lower-level courts,,,
2015,,,,Total (across all levels of courts),,,
