Year,Types of income,Value
2010,,32.0
2010,Taxes,17.9
2010,Social contributions,8.7
2010,Grants,2.3
2010,Other incomes,3.0
2011,,30.5
2011,Taxes,18.0
2011,Social contributions,8.3
2011,Grants,1.7
2011,Other incomes,2.4
2012,,31.8
2012,Taxes,19.0
2012,Social contributions,8.5
2012,Grants,1.6
2012,Other incomes,2.8
2013,,30.9
2013,Taxes,19.1
2013,Social contributions,8.1
2013,Grants,1.7
2013,Other incomes,1.8
2014,,31.8
2014,Taxes,18.2
2014,Social contributions,8.1
2014,Grants,3.1
2014,Other incomes,2.5
2015,,30.0
2015,Taxes,18.0
2015,Social contributions,8.3
2015,Grants,1.4
2015,Other incomes,2.2
2016,,28.6
2016,Taxes,18.2
2016,Social contributions,8.2
2016,Grants,0.8
2016,Other incomes,1.3
2017,,29.8
2017,Taxes,19.3
2017,Social contributions,8.7
2017,Grants,0.6
2017,Other incomes,2.3
2018,,30.1
2018,Taxes,19.6
2018,Social contributions,8.9
2018,Grants,0.2
2018,Other incomes,1.4
2019,,30.5
2019,Taxes,19.4
2019,Social contributions,8.9
2019,Grants,0.8
2019,Other incomes,1.4
2020,,31.4
2020,Taxes,19.9
2020,Social contributions,9.7
2020,Grants,0.3
2020,Other incomes,1.5
2021,,32.0
2021,Taxes,20.4
2021,Social contributions,9.0
2021,Grants,1.0
2021,Other incomes,1.5
2022,,33.6
2022,Taxes,21.1
2022,Social contributions,9.1
2022,Grants,1.7
2022,Other incomes,1.7
