Year,Indicators,Value
2010,Merchandise trade,0.01
2010,Services,0.02
2011,Merchandise trade,0.01
2011,Services,0.02
2012,Merchandise trade,0.01
2012,Services,0.02
2013,Merchandise trade,0.01
2013,Services,0.02
2014,Merchandise trade,0.01
2014,Services,0.02
2015,Merchandise trade,0.01
2015,Services,0.02
2016,Merchandise trade,0.01
2016,Services,0.02
2017,Merchandise trade,0.01
2017,Services,0.02
2018,Merchandise trade,0.01
2018,Services,0.02
2019,Merchandise trade,0.01
2019,Services,0.02
2020,Merchandise trade,0.01
2020,Services,0.03
2021,Merchandise trade,
2021,Services,
2022,Merchandise trade,
2022,Services,
