Year,Cattle,Sheep,Value
2010,,,
2010,Baltata with Black Moldavian type,,
2010,,Caracul,
2010,,Tigaie,
2011,,,
2011,Baltata with Black Moldavian type,,
2011,,Caracul,
2011,,Tigaie,
2012,,,
2012,Baltata with Black Moldavian type,,
2012,,Caracul,
2012,,Tigaie,
2013,,,
2013,Baltata with Black Moldavian type,,
2013,,Caracul,
2013,,Tigaie,
2014,,,
2014,Baltata with Black Moldavian type,,
2014,,Caracul,
2014,,Tigaie,
2015,,,
2015,Baltata with Black Moldavian type,,
2015,,Caracul,
2015,,Tigaie,
2016,,,
2016,Baltata with Black Moldavian type,,39.0
2016,,Caracul,20.0
2016,,Tigaie,79.0
2017,,,
2017,Baltata with Black Moldavian type,,34.0
2017,,Caracul,18.0
2017,,Tigaie,82.0
2018,,,
2018,Baltata with Black Moldavian type,,27.0
2018,,Caracul,19.0
2018,,Tigaie,79.0
2019,,,
2019,Baltata with Black Moldavian type,,29.0
2019,,Caracul,34.0
2019,,Tigaie,64.0
2020,,,
2020,Baltata with Black Moldavian type,,20.0
2020,,Caracul,48.0
2020,,Tigaie,49.0
2021,,,
2021,Baltata with Black Moldavian type,,15.0
2021,,Caracul,43.0
2021,,Tigaie,49.0
2022,,,
2022,Baltata with Black Moldavian type,,6.0
2022,,Caracul,50.0
2022,,Tigaie,47.0
2023,,,
2023,Baltata with Black Moldavian type,,31.0
2023,,Caracul,21.0
2023,,Tigaie,36.0
2024,,,
2024,Baltata with Black Moldavian type,,34.0
2024,,Caracul,20.0
2024,,Tigaie,33.0
2025,,,
2025,Baltata with Black Moldavian type,,37.0
2025,,Caracul,20.0
2025,,Tigaie,12.0
