Year,Age group,Value
2010,,
2010,"18 years and over, adults",
2010,"0-17 years, children",
2011,,
2011,"18 years and over, adults",
2011,"0-17 years, children",
2012,,
2012,"18 years and over, adults",
2012,"0-17 years, children",
2013,,
2013,"18 years and over, adults",
2013,"0-17 years, children",
2014,,64.56
2014,"18 years and over, adults",81.729
2014,"0-17 years, children",2.267
2015,,55.783
2015,"18 years and over, adults",70.68
2015,"0-17 years, children",1.314
2016,,43.879
2016,"18 years and over, adults",55.701
2016,"0-17 years, children",0.828
2017,,44.897
2017,"18 years and over, adults",57.001
2017,"0-17 years, children",1.335
2018,,33.134
2018,"18 years and over, adults",42.089
2018,"0-17 years, children",1.016
2019,,37.084
2019,"18 years and over, adults",46.883
2019,"0-17 years, children",1.73
2020,,18.102
2020,"18 years and over, adults",22.843
2020,"0-17 years, children",0.879
2021,,23.422
2021,"18 years and over, adults",28.729
2021,"0-17 years, children",4.11
2022,,22.107
2022,"18 years and over, adults",28.144
2022,"0-17 years, children",0.183
2023,,31.078
2023,"18 years and over, adults",40.287
2023,"0-17 years, children",0.533
2024,,34.512
2024,"18 years and over, adults",44.626
2024,"0-17 years, children",1.076
2025,,34.58
2025,"18 years and over, adults",44.893
2025,"0-17 years, children",0.543
