Year,Sex,Children up to 18 years old,Value
2010,,,
2010,Men,,
2010,Women,,
2010,,Total up to the age of 18  years old,
2010,,Boys up to the age of 18  years old,
2010,,Girls up to the age of 18 years old,
2011,,,
2011,Men,,
2011,Women,,
2011,,Total up to the age of 18  years old,
2011,,Boys up to the age of 18  years old,
2011,,Girls up to the age of 18 years old,
2012,,,
2012,Men,,
2012,Women,,
2012,,Total up to the age of 18  years old,
2012,,Boys up to the age of 18  years old,
2012,,Girls up to the age of 18 years old,
2013,,,
2013,Men,,
2013,Women,,
2013,,Total up to the age of 18  years old,
2013,,Boys up to the age of 18  years old,
2013,,Girls up to the age of 18 years old,
2014,,,20.3
2014,Men,,36.3
2014,Women,,5.6
2014,,Total up to the age of 18  years old,0.2
2014,,Boys up to the age of 18  years old,0.4
2014,,Girls up to the age of 18 years old,0.1
2015,,,19.6
2015,Men,,34.0
2015,Women,,6.3
2015,,Total up to the age of 18  years old,0.1
2015,,Boys up to the age of 18  years old,0.2
2015,,Girls up to the age of 18 years old,0.1
2016,,,19.5
2016,Men,,34.3
2016,Women,,5.8
2016,,Total up to the age of 18  years old,0.3
2016,,Boys up to the age of 18  years old,0.4
2016,,Girls up to the age of 18 years old,0.2
2017,,,18.4
2017,Men,,33.0
2017,Women,,4.9
2017,,Total up to the age of 18  years old,0.3
2017,,Boys up to the age of 18  years old,0.4
2017,,Girls up to the age of 18 years old,0.1
2018,,,18.1
2018,Men,,32.9
2018,Women,,4.5
2018,,Total up to the age of 18  years old,0.1
2018,,Boys up to the age of 18  years old,0.2
2018,,Girls up to the age of 18 years old,0.1
2019,,,17.5
2019,Men,,31.4
2019,Women,,4.9
2019,,Total up to the age of 18  years old,0.2
2019,,Boys up to the age of 18  years old,0.2
2019,,Girls up to the age of 18 years old,0.1
2020,,,18.5
2020,Men,,32.3
2020,Women,,5.9
2020,,Total up to the age of 18  years old,0.2
2020,,Boys up to the age of 18  years old,0.2
2020,,Girls up to the age of 18 years old,0.2
2021,,,17.8
2021,Men,,30.5
2021,Women,,6.2
2021,,Total up to the age of 18  years old,0.2
2021,,Boys up to the age of 18  years old,0.2
2021,,Girls up to the age of 18 years old,0.2
2022,,,
2022,Men,,
2022,Women,,
2022,,Total up to the age of 18  years old,
2022,,Boys up to the age of 18  years old,
2022,,Girls up to the age of 18 years old,
