Year,Sex,Value
2010,,12.3
2010,Men,19.28
2010,Women,5.99
2011,,13.48
2011,Men,21.11
2011,Women,6.59
2012,,14.38
2012,Men,22.55
2012,Women,6.99
2013,,13.91
2013,Men,21.91
2013,Women,6.69
2014,,13.03
2014,Men,20.65
2014,Women,6.15
2015,,12.3
2015,Men,19.6
2015,Women,5.72
2016,,12.32
2016,Men,19.7
2016,Women,5.69
2017,,12.72
2017,Men,20.36
2017,Women,5.86
2018,,12.85
2018,Men,20.61
2018,Women,5.89
2019,,11.4
2019,Men,18.5
2019,Women,5.1
2020,,11.1
2020,Men,18.1
2020,Women,4.9
2021,,
2021,Men,
2021,Women,
2022,,
2022,Men,
2022,Women,
2023,,
2023,Men,
2023,Women,
2024,,
2024,Men,
2024,Women,
