Year,Area of residence,Statistical regions,Quintiles on consumption expenditures,Sex of the head of the household,Value
2010,,,,,
2010,Urban,,,,
2010,Rural,,,,
2010,,Municipality Chisinau,,,
2010,,North,,,
2010,,Center,,,
2010,,South,,,
2010,,,I,,
2010,,,II,,
2010,,,III,,
2010,,,IV,,
2010,,,V,,
2010,,,,Men,
2010,,,,Women,
2011,,,,,
2011,Urban,,,,
2011,Rural,,,,
2011,,Municipality Chisinau,,,
2011,,North,,,
2011,,Center,,,
2011,,South,,,
2011,,,I,,
2011,,,II,,
2011,,,III,,
2011,,,IV,,
2011,,,V,,
2011,,,,Men,
2011,,,,Women,
2012,,,,,
2012,Urban,,,,
2012,Rural,,,,
2012,,Municipality Chisinau,,,
2012,,North,,,
2012,,Center,,,
2012,,South,,,
2012,,,I,,
2012,,,II,,
2012,,,III,,
2012,,,IV,,
2012,,,V,,
2012,,,,Men,
2012,,,,Women,
2013,,,,,
2013,Urban,,,,
2013,Rural,,,,
2013,,Municipality Chisinau,,,
2013,,North,,,
2013,,Center,,,
2013,,South,,,
2013,,,I,,
2013,,,II,,
2013,,,III,,
2013,,,IV,,
2013,,,V,,
2013,,,,Men,
2013,,,,Women,
2014,,,,,38.7
2014,Urban,,,,76.5
2014,Rural,,,,11.5
2014,,Municipality Chisinau,,,88.7
2014,,North,,,22.9
2014,,Center,,,21.9
2014,,South,,,25.7
2014,,,I,,12.2
2014,,,II,,25.3
2014,,,III,,35.8
2014,,,IV,,51.9
2014,,,V,,68.3
2014,,,,Men,36.9
2014,,,,Women,42.3
2015,,,,,40.7
2015,Urban,,,,79.5
2015,Rural,,,,12.9
2015,,Municipality Chisinau,,,88.6
2015,,North,,,26.3
2015,,Center,,,25.3
2015,,South,,,26.2
2015,,,I,,10.1
2015,,,II,,27.6
2015,,,III,,38.0
2015,,,IV,,55.0
2015,,,V,,73.0
2015,,,,Men,39.8
2015,,,,Women,42.8
2016,,,,,42.8
2016,Urban,,,,79.9
2016,Rural,,,,16.1
2016,,Municipality Chisinau,,,91.7
2016,,North,,,26.4
2016,,Center,,,28.2
2016,,South,,,28.3
2016,,,I,,11.8
2016,,,II,,29.2
2016,,,III,,41.3
2016,,,IV,,56.6
2016,,,V,,75.0
2016,,,,Men,41.7
2016,,,,Women,44.8
2017,,,,,45.0
2017,Urban,,,,82.7
2017,Rural,,,,18.6
2017,,Municipality Chisinau,,,91.1
2017,,North,,,30.0
2017,,Center,,,31.9
2017,,South,,,29.6
2017,,,I,,15.9
2017,,,II,,29.0
2017,,,III,,43.9
2017,,,IV,,59.8
2017,,,V,,76.1
2017,,,,Men,43.4
2017,,,,Women,47.9
2018,,,,,46.7
2018,Urban,,,,83.8
2018,Rural,,,,20.8
2018,,Municipality Chisinau,,,91.6
2018,,North,,,30.9
2018,,Center,,,33.9
2018,,South,,,33.9
2018,,,I,,17.4
2018,,,II,,32.0
2018,,,III,,46.5
2018,,,IV,,59.9
2018,,,V,,77.7
2018,,,,Men,45.7
2018,,,,Women,48.6
2019,,,,,55.871
2019,Urban,,,,87.193
2019,Rural,,,,35.189
2019,,Municipality Chisinau,,,91.586
2019,,North,,,42.478
2019,,Center,,,48.066
2019,,South,,,43.407
2019,,,I,,23.223
2019,,,II,,43.865
2019,,,III,,58.736
2019,,,IV,,70.312
2019,,,V,,83.24
2019,,,,Men,56.636
2019,,,,Women,54.246
2020,,,,,57.222
2020,Urban,,,,86.989
2020,Rural,,,,37.609
2020,,Municipality Chisinau,,,92.57
2020,,North,,,42.436
2020,,Center,,,48.66
2020,,South,,,48.675
2020,,,I,,28.062
2020,,,II,,44.714
2020,,,III,,58.431
2020,,,IV,,68.909
2020,,,V,,86.028
2020,,,,Men,58.682
2020,,,,Women,54.268
2021,,,,,62.706
2021,Urban,,,,88.364
2021,Rural,,,,45.841
2021,,Municipality Chisinau,,,91.064
2021,,North,,,53.925
2021,,Center,,,52.32
2021,,South,,,56.95
2021,,,I,,33.506
2021,,,II,,51.806
2021,,,III,,64.401
2021,,,IV,,74.687
2021,,,V,,89.194
2021,,,,Men,64.032
2021,,,,Women,59.975
2022,,,,,64.584
2022,Urban,,,,91.871
2022,Rural,,,,46.661
2022,,Municipality Chisinau,,,97.038
2022,,North,,,50.325
2022,,Center,,,59.33
2022,,South,,,53.891
2022,,,I,,37.578
2022,,,II,,55.717
2022,,,III,,63.975
2022,,,IV,,75.91
2022,,,V,,89.746
2022,,,,Men,65.89
2022,,,,Women,62.024
2023,,,,,67.374
2023,Urban,,,,92.522
2023,Rural,,,,48.469
2023,,Municipality Chisinau,,,94.036
2023,,North,,,55.014
2023,,Center,,,61.414
2023,,South,,,55.642
2023,,,I,,37.847
2023,,,II,,60.019
2023,,,III,,68.829
2023,,,IV,,78.964
2023,,,V,,91.198
2023,,,,Men,67.893
2023,,,,Women,66.376
