Year,Sex,Age group,Statistical regions,Occupations,Value
2010,,,,,
2010,Men,,,,
2010,Women,,,,
2010,,15-24,,,
2010,,25 and over,,,
2010,,,Mun. Chisinau,,
2010,,,North,,
2010,,,Center,,
2010,,,South,,
2010,,,,"Legislators, senior officials and managers",
2010,,,,Professionals,
2010,,,,Technicians and associate professionals,
2010,,,,Clerical support workers,
2010,,,,Service and shop and Sales Workers,
2010,,,,Craft and related trades workers,
2010,,,,Plant and machine operators and assemblers,
2010,,,,Elementary occupations,
2011,,,,,
2011,Men,,,,
2011,Women,,,,
2011,,15-24,,,
2011,,25 and over,,,
2011,,,Mun. Chisinau,,
2011,,,North,,
2011,,,Center,,
2011,,,South,,
2011,,,,"Legislators, senior officials and managers",
2011,,,,Professionals,
2011,,,,Technicians and associate professionals,
2011,,,,Clerical support workers,
2011,,,,Service and shop and Sales Workers,
2011,,,,Craft and related trades workers,
2011,,,,Plant and machine operators and assemblers,
2011,,,,Elementary occupations,
2012,,,,,
2012,Men,,,,
2012,Women,,,,
2012,,15-24,,,
2012,,25 and over,,,
2012,,,Mun. Chisinau,,
2012,,,North,,
2012,,,Center,,
2012,,,South,,
2012,,,,"Legislators, senior officials and managers",
2012,,,,Professionals,
2012,,,,Technicians and associate professionals,
2012,,,,Clerical support workers,
2012,,,,Service and shop and Sales Workers,
2012,,,,Craft and related trades workers,
2012,,,,Plant and machine operators and assemblers,
2012,,,,Elementary occupations,
2013,,,,,
2013,Men,,,,
2013,Women,,,,
2013,,15-24,,,
2013,,25 and over,,,
2013,,,Mun. Chisinau,,
2013,,,North,,
2013,,,Center,,
2013,,,South,,
2013,,,,"Legislators, senior officials and managers",
2013,,,,Professionals,
2013,,,,Technicians and associate professionals,
2013,,,,Clerical support workers,
2013,,,,Service and shop and Sales Workers,
2013,,,,Craft and related trades workers,
2013,,,,Plant and machine operators and assemblers,
2013,,,,Elementary occupations,
2014,,,,,9.7
2014,Men,,,,9.3
2014,Women,,,,10.1
2014,,15-24,,,11.0
2014,,25 and over,,,9.6
2014,,,Mun. Chisinau,,14.2
2014,,,North,,7.6
2014,,,Center,,7.4
2014,,,South,,9.4
2014,,,,"Legislators, senior officials and managers",10.188
2014,,,,Professionals,6.534
2014,,,,Technicians and associate professionals,7.215
2014,,,,Clerical support workers,2.811
2014,,,,Service and shop and Sales Workers,0.972
2014,,,,Craft and related trades workers,40.269
2014,,,,Plant and machine operators and assemblers,20.935
2014,,,,Elementary occupations,7.401
2015,,,,,9.6
2015,Men,,,,9.6
2015,Women,,,,9.6
